labcode,medium_difficulty_count_2022,total_medium_difficulty_projects_2022,medium_difficulty_rank_2022,medium_difficulty_rate_2022,is_special,x,color,size
247,14,14,1,100.0,False,0,skyblue,40
312,13,14,2,92.85714285714286,False,1,skyblue,40
7,12,14,3,85.71428571428571,False,2,skyblue,40
264,12,14,3,85.71428571428571,False,3,skyblue,40
217,12,14,3,85.71428571428571,False,4,skyblue,40
39,12,14,3,85.71428571428571,False,5,skyblue,40
255,12,14,3,85.71428571428571,False,6,skyblue,40
271,12,14,3,85.71428571428571,False,7,skyblue,40
6,11,14,9,78.57142857142857,False,8,skyblue,40
14,11,14,9,78.57142857142857,False,9,skyblue,40
253,11,14,9,78.57142857142857,False,10,skyblue,40
33,10,14,12,71.42857142857143,False,11,skyblue,40
22,10,14,12,71.42857142857143,False,12,skyblue,40
21,10,14,12,71.42857142857143,False,13,skyblue,40
50,10,14,12,71.42857142857143,False,14,skyblue,40
221,9,14,16,64.28571428571429,False,15,skyblue,40
40,9,14,16,64.28571428571429,False,16,skyblue,40
210,9,14,16,64.28571428571429,False,17,skyblue,40
20,9,14,16,64.28571428571429,False,18,skyblue,40
18,8,14,20,57.14285714285714,False,19,skyblue,40
68,8,14,20,57.14285714285714,False,20,skyblue,40
157,8,14,20,57.14285714285714,False,21,skyblue,40
251,8,14,20,57.14285714285714,False,22,skyblue,40
310,8,14,20,57.14285714285714,False,23,skyblue,40
239,7,14,25,50.0,False,24,skyblue,40
94,7,14,25,50.0,False,25,skyblue,40
24,7,14,25,50.0,False,26,skyblue,40
47,7,14,25,50.0,False,27,skyblue,40
110,7,14,25,50.0,False,28,skyblue,40
207,7,14,25,50.0,False,29,skyblue,40
213,7,14,25,50.0,False,30,skyblue,40
49,7,14,25,50.0,False,31,skyblue,40
303,6,14,33,42.857142857142854,False,32,skyblue,40
198,6,14,33,42.857142857142854,False,33,skyblue,40
269,6,14,33,42.857142857142854,False,34,skyblue,40
261,6,14,33,42.857142857142854,False,35,skyblue,40
266,6,14,33,42.857142857142854,False,36,skyblue,40
309,6,14,33,42.857142857142854,False,37,skyblue,40
216,6,14,33,42.857142857142854,False,38,skyblue,40
140,6,14,33,42.857142857142854,False,39,skyblue,40
84,6,14,33,42.857142857142854,False,40,skyblue,40
113,6,14,33,42.857142857142854,False,41,skyblue,40
175,6,14,33,42.857142857142854,False,42,skyblue,40
178,6,14,33,42.857142857142854,False,43,skyblue,40
158,6,14,33,42.857142857142854,False,44,skyblue,40
148,6,14,33,42.857142857142854,False,45,skyblue,40
128,6,14,33,42.857142857142854,False,46,skyblue,40
122,5,14,48,35.714285714285715,False,47,skyblue,40
51,5,14,48,35.714285714285715,False,48,skyblue,40
220,5,14,48,35.714285714285715,False,49,skyblue,40
242,5,14,48,35.714285714285715,False,50,skyblue,40
298,5,14,48,35.714285714285715,False,51,skyblue,40
235,5,14,48,35.714285714285715,False,52,skyblue,40
120,5,14,48,35.714285714285715,False,53,skyblue,40
162,5,14,48,35.714285714285715,False,54,skyblue,40
238,5,14,48,35.714285714285715,False,55,skyblue,40
115,5,14,48,35.714285714285715,False,56,skyblue,40
8,5,14,48,35.714285714285715,True,57,red,80
70,5,14,48,35.714285714285715,False,58,skyblue,40
76,4,14,60,28.57142857142857,False,59,skyblue,40
60,4,14,60,28.57142857142857,False,60,skyblue,40
88,4,14,60,28.57142857142857,False,61,skyblue,40
214,4,14,60,28.57142857142857,False,62,skyblue,40
69,4,14,60,28.57142857142857,False,63,skyblue,40
132,4,14,60,28.57142857142857,False,64,skyblue,40
191,4,14,60,28.57142857142857,False,65,skyblue,40
121,4,14,60,28.57142857142857,False,66,skyblue,40
72,4,14,60,28.57142857142857,False,67,skyblue,40
306,4,14,60,28.57142857142857,False,68,skyblue,40
52,4,14,60,28.57142857142857,False,69,skyblue,40
230,4,14,60,28.57142857142857,False,70,skyblue,40
32,4,14,60,28.57142857142857,False,71,skyblue,40
37,4,14,60,28.57142857142857,False,72,skyblue,40
123,4,14,60,28.57142857142857,False,73,skyblue,40
59,4,14,60,28.57142857142857,False,74,skyblue,40
297,4,14,60,28.57142857142857,False,75,skyblue,40
231,3,14,77,21.428571428571427,False,76,skyblue,40
38,3,14,77,21.428571428571427,False,77,skyblue,40
136,3,14,77,21.428571428571427,False,78,skyblue,40
126,3,14,77,21.428571428571427,False,79,skyblue,40
265,3,14,77,21.428571428571427,False,80,skyblue,40
259,3,14,77,21.428571428571427,False,81,skyblue,40
299,3,14,77,21.428571428571427,False,82,skyblue,40
58,3,14,77,21.428571428571427,False,83,skyblue,40
83,3,14,77,21.428571428571427,False,84,skyblue,40
16,3,14,77,21.428571428571427,False,85,skyblue,40
57,3,14,77,21.428571428571427,False,86,skyblue,40
96,3,14,77,21.428571428571427,False,87,skyblue,40
97,2,14,89,14.285714285714285,False,88,skyblue,40
42,2,14,89,14.285714285714285,False,89,skyblue,40
168,2,14,89,14.285714285714285,False,90,skyblue,40
240,2,14,89,14.285714285714285,False,91,skyblue,40
118,2,14,89,14.285714285714285,False,92,skyblue,40
187,2,14,89,14.285714285714285,False,93,skyblue,40
74,2,14,89,14.285714285714285,False,94,skyblue,40
9,2,14,89,14.285714285714285,False,95,skyblue,40
119,2,14,89,14.285714285714285,False,96,skyblue,40
141,2,14,89,14.285714285714285,False,97,skyblue,40
133,2,14,89,14.285714285714285,False,98,skyblue,40
29,2,14,89,14.285714285714285,False,99,skyblue,40
290,2,14,89,14.285714285714285,False,100,skyblue,40
204,1,14,102,7.142857142857142,False,101,skyblue,40
227,1,14,102,7.142857142857142,False,102,skyblue,40
87,1,14,102,7.142857142857142,False,103,skyblue,40
41,1,14,102,7.142857142857142,False,104,skyblue,40
36,1,14,102,7.142857142857142,False,105,skyblue,40
199,1,14,102,7.142857142857142,False,106,skyblue,40
184,1,14,102,7.142857142857142,False,107,skyblue,40
171,1,14,102,7.142857142857142,False,108,skyblue,40
226,1,14,102,7.142857142857142,False,109,skyblue,40
99,1,14,102,7.142857142857142,False,110,skyblue,40
13,1,14,102,7.142857142857142,False,111,skyblue,40
272,1,14,102,7.142857142857142,False,112,skyblue,40
86,1,14,102,7.142857142857142,False,113,skyblue,40
95,1,14,102,7.142857142857142,False,114,skyblue,40
117,1,14,102,7.142857142857142,False,115,skyblue,40
143,1,14,102,7.142857142857142,False,116,skyblue,40
153,1,14,102,7.142857142857142,False,117,skyblue,40
44,1,14,102,7.142857142857142,False,118,skyblue,40
155,1,14,102,7.142857142857142,False,119,skyblue,40
31,1,14,102,7.142857142857142,False,120,skyblue,40
66,1,14,102,7.142857142857142,False,121,skyblue,40
276,1,14,102,7.142857142857142,False,122,skyblue,40
305,1,14,102,7.142857142857142,False,123,skyblue,40
92,1,14,102,7.142857142857142,False,124,skyblue,40
