labcode,medium_difficulty_count_2021,total_medium_difficulty_projects_2021,medium_difficulty_rank_2021,medium_difficulty_rate_2021,is_special,x,color,size
34,9,9,1,100.0,False,0,skyblue,40
26,9,9,1,100.0,False,1,skyblue,40
50,9,9,1,100.0,False,2,skyblue,40
227,9,9,1,100.0,False,3,skyblue,40
240,9,9,1,100.0,False,4,skyblue,40
233,9,9,1,100.0,False,5,skyblue,40
251,9,9,1,100.0,False,6,skyblue,40
322,9,9,1,100.0,False,7,skyblue,40
283,8,9,9,88.88888888888889,False,8,skyblue,40
35,8,9,9,88.88888888888889,False,9,skyblue,40
41,8,9,9,88.88888888888889,False,10,skyblue,40
25,8,9,9,88.88888888888889,False,11,skyblue,40
14,8,9,9,88.88888888888889,False,12,skyblue,40
261,8,9,9,88.88888888888889,False,13,skyblue,40
243,8,9,9,88.88888888888889,False,14,skyblue,40
256,8,9,9,88.88888888888889,False,15,skyblue,40
10,8,9,9,88.88888888888889,False,16,skyblue,40
6,7,9,18,77.77777777777779,False,17,skyblue,40
48,7,9,18,77.77777777777779,False,18,skyblue,40
268,7,9,18,77.77777777777779,False,19,skyblue,40
248,7,9,18,77.77777777777779,False,20,skyblue,40
8,7,9,18,77.77777777777779,False,21,skyblue,40
228,7,9,18,77.77777777777779,False,22,skyblue,40
215,7,9,18,77.77777777777779,False,23,skyblue,40
242,7,9,18,77.77777777777779,False,24,skyblue,40
255,7,9,18,77.77777777777779,False,25,skyblue,40
9,7,9,18,77.77777777777779,False,26,skyblue,40
254,7,9,18,77.77777777777779,False,27,skyblue,40
324,7,9,18,77.77777777777779,False,28,skyblue,40
219,7,9,18,77.77777777777779,False,29,skyblue,40
253,6,9,31,66.66666666666666,False,30,skyblue,40
266,6,9,31,66.66666666666666,False,31,skyblue,40
45,6,9,31,66.66666666666666,False,32,skyblue,40
320,6,9,31,66.66666666666666,False,33,skyblue,40
267,6,9,31,66.66666666666666,False,34,skyblue,40
257,6,9,31,66.66666666666666,False,35,skyblue,40
252,6,9,31,66.66666666666666,False,36,skyblue,40
212,6,9,31,66.66666666666666,False,37,skyblue,40
317,6,9,31,66.66666666666666,False,38,skyblue,40
310,6,9,31,66.66666666666666,False,39,skyblue,40
18,6,9,31,66.66666666666666,False,40,skyblue,40
224,5,9,42,55.55555555555556,False,41,skyblue,40
32,5,9,42,55.55555555555556,False,42,skyblue,40
295,5,9,42,55.55555555555556,False,43,skyblue,40
5,5,9,42,55.55555555555556,False,44,skyblue,40
238,5,9,42,55.55555555555556,False,45,skyblue,40
280,5,9,42,55.55555555555556,False,46,skyblue,40
259,5,9,42,55.55555555555556,False,47,skyblue,40
269,5,9,42,55.55555555555556,False,48,skyblue,40
15,5,9,42,55.55555555555556,False,49,skyblue,40
250,5,9,42,55.55555555555556,False,50,skyblue,40
213,5,9,42,55.55555555555556,False,51,skyblue,40
210,5,9,42,55.55555555555556,False,52,skyblue,40
216,5,9,42,55.55555555555556,False,53,skyblue,40
291,5,9,42,55.55555555555556,False,54,skyblue,40
208,4,9,56,44.44444444444444,False,55,skyblue,40
207,4,9,56,44.44444444444444,False,56,skyblue,40
2,4,9,56,44.44444444444444,False,57,skyblue,40
230,3,9,59,33.33333333333333,False,58,skyblue,40
313,3,9,59,33.33333333333333,False,59,skyblue,40
249,3,9,59,33.33333333333333,False,60,skyblue,40
197,3,9,59,33.33333333333333,False,61,skyblue,40
30,3,9,59,33.33333333333333,False,62,skyblue,40
1,3,9,59,33.33333333333333,False,63,skyblue,40
19,3,9,59,33.33333333333333,False,64,skyblue,40
51,3,9,59,33.33333333333333,False,65,skyblue,40
297,3,9,59,33.33333333333333,False,66,skyblue,40
39,3,9,59,33.33333333333333,False,67,skyblue,40
200,2,9,69,22.22222222222222,False,68,skyblue,40
201,2,9,69,22.22222222222222,False,69,skyblue,40
43,2,9,69,22.22222222222222,False,70,skyblue,40
326,2,9,69,22.22222222222222,False,71,skyblue,40
27,2,9,69,22.22222222222222,False,72,skyblue,40
323,2,9,69,22.22222222222222,False,73,skyblue,40
202,2,9,69,22.22222222222222,False,74,skyblue,40
305,2,9,69,22.22222222222222,False,75,skyblue,40
36,2,9,69,22.22222222222222,False,76,skyblue,40
234,2,9,69,22.22222222222222,False,77,skyblue,40
235,1,9,79,11.11111111111111,False,78,skyblue,40
195,1,9,79,11.11111111111111,False,79,skyblue,40
190,1,9,79,11.11111111111111,False,80,skyblue,40
193,1,9,79,11.11111111111111,False,81,skyblue,40
59,1,9,79,11.11111111111111,False,82,skyblue,40
211,1,9,79,11.11111111111111,True,83,red,80
12,1,9,79,11.11111111111111,False,84,skyblue,40
38,1,9,79,11.11111111111111,False,85,skyblue,40
318,1,9,79,11.11111111111111,False,86,skyblue,40
289,1,9,79,11.11111111111111,False,87,skyblue,40
288,1,9,79,11.11111111111111,False,88,skyblue,40
