year,our_labcode,n_projects,rdi,rdi_raw,sem,median_abs_bias,rank,n_labs
2021,211,10,1.4130092307692306,1.4569999999999999,0.28266109714285287,1.3399999999999999,4,259
2022,8,15,2.025641025641025,2.161333333333333,0.5109493077384739,1.44,15,265
2023,43,22,3.97,4.125909090909091,1.2640251536772598,2.08,34,315
2024,5,30,3.162153846153846,3.419000000000001,0.7130879187887457,1.445,15,468
2025,15,32,4.663221153846154,4.81875,0.6718181009700931,4.949999999999999,52,392
