labcode,a_count_2021,total_count_2021,a_rate_2021,rank_2021,is_special,special_type,x,color,size
251,27,27,100.0,1,False,normal,0,skyblue,10
261,27,28,96.42857142857143,1,False,normal,1,skyblue,10
283,26,27,96.29629629629629,3,False,normal,2,skyblue,10
9,26,28,92.85714285714286,3,False,normal,3,skyblue,10
227,26,26,100.0,3,False,normal,4,skyblue,10
322,25,27,92.5925925925926,6,False,normal,5,skyblue,10
18,25,28,89.28571428571429,6,False,normal,6,skyblue,10
254,25,27,92.5925925925926,6,False,normal,7,skyblue,10
34,25,25,100.0,6,False,normal,8,skyblue,10
268,25,27,92.5925925925926,6,False,normal,9,skyblue,10
233,24,27,88.88888888888889,11,False,normal,10,skyblue,10
41,24,24,100.0,11,False,normal,11,skyblue,10
32,23,25,92.0,13,False,normal,12,skyblue,10
10,23,25,92.0,13,False,normal,13,skyblue,10
240,23,26,88.46153846153845,13,False,normal,14,skyblue,10
256,23,24,95.83333333333334,13,False,normal,15,skyblue,10
242,23,23,100.0,13,False,normal,16,skyblue,10
26,23,24,95.83333333333334,13,False,normal,17,skyblue,10
50,23,26,88.46153846153845,13,False,normal,18,skyblue,10
212,22,22,100.0,20,False,normal,19,skyblue,10
255,22,23,95.65217391304348,20,False,normal,20,skyblue,10
14,22,24,91.66666666666666,20,False,normal,21,skyblue,10
25,22,24,91.66666666666666,20,False,normal,22,skyblue,10
324,21,23,91.30434782608695,24,False,normal,23,skyblue,10
219,21,24,87.5,24,False,normal,24,skyblue,10
291,21,24,87.5,24,False,normal,25,skyblue,10
48,20,20,100.0,27,False,normal,26,skyblue,10
35,20,23,86.95652173913044,27,False,normal,27,skyblue,10
238,20,25,80.0,27,False,normal,28,skyblue,10
15,20,20,100.0,27,False,normal,29,skyblue,10
224,20,20,100.0,27,False,normal,30,skyblue,10
248,20,23,86.95652173913044,27,False,normal,31,skyblue,10
310,20,24,83.33333333333334,27,False,normal,32,skyblue,10
197,19,19,100.0,34,False,normal,33,skyblue,10
228,19,19,100.0,34,False,normal,34,skyblue,10
213,19,19,100.0,34,False,normal,35,skyblue,10
320,19,22,86.36363636363636,34,False,normal,36,skyblue,10
2,19,22,86.36363636363636,34,False,normal,37,skyblue,10
156,19,19,100.0,34,False,normal,38,skyblue,10
257,19,23,82.6086956521739,34,False,normal,39,skyblue,10
5,19,22,86.36363636363636,34,False,normal,40,skyblue,10
6,18,23,78.26086956521739,42,False,normal,41,skyblue,10
323,18,18,100.0,42,False,normal,42,skyblue,10
19,18,18,100.0,42,False,normal,43,skyblue,10
39,18,22,81.81818181818183,42,False,normal,44,skyblue,10
249,18,21,85.71428571428571,42,False,normal,45,skyblue,10
186,18,18,100.0,42,False,normal,46,skyblue,10
313,18,22,81.81818181818183,42,False,normal,47,skyblue,10
180,17,19,89.47368421052632,49,False,normal,48,skyblue,10
266,17,21,80.95238095238095,49,False,normal,49,skyblue,10
8,17,19,89.47368421052632,49,False,normal,50,skyblue,10
215,17,18,94.44444444444444,49,False,normal,51,skyblue,10
216,17,19,89.47368421052632,49,False,normal,52,skyblue,10
81,17,17,100.0,49,False,normal,53,skyblue,10
99,17,17,100.0,49,False,normal,54,skyblue,10
195,17,18,94.44444444444444,49,False,normal,55,skyblue,10
207,17,17,100.0,49,False,normal,56,skyblue,10
243,17,17,100.0,49,False,normal,57,skyblue,10
148,17,18,94.44444444444444,49,False,normal,58,skyblue,10
102,16,16,100.0,60,False,normal,59,skyblue,10
250,16,20,80.0,60,False,normal,60,skyblue,10
171,16,16,100.0,60,False,normal,61,skyblue,10
84,16,18,88.88888888888889,60,False,normal,62,skyblue,10
59,16,16,100.0,60,False,normal,63,skyblue,10
36,16,16,100.0,60,False,normal,64,skyblue,10
150,16,16,100.0,60,False,normal,65,skyblue,10
252,16,17,94.11764705882352,60,False,normal,66,skyblue,10
210,16,16,100.0,60,False,normal,67,skyblue,10
189,16,18,88.88888888888889,60,False,normal,68,skyblue,10
185,16,16,100.0,60,False,normal,69,skyblue,10
193,16,17,94.11764705882352,60,False,normal,70,skyblue,10
169,16,17,94.11764705882352,60,False,normal,71,skyblue,10
38,15,16,93.75,73,False,normal,72,skyblue,10
325,15,15,100.0,73,False,normal,73,skyblue,10
92,15,15,100.0,73,False,normal,74,skyblue,10
21,15,15,100.0,73,False,normal,75,skyblue,10
190,15,15,100.0,73,False,normal,76,skyblue,10
152,15,15,100.0,73,False,normal,77,skyblue,10
146,15,15,100.0,73,False,normal,78,skyblue,10
153,15,15,100.0,73,False,normal,79,skyblue,10
295,15,18,83.33333333333334,73,False,normal,80,skyblue,10
113,15,15,100.0,73,False,normal,81,skyblue,10
103,15,15,100.0,73,False,normal,82,skyblue,10
289,15,15,100.0,73,False,normal,83,skyblue,10
191,15,15,100.0,73,False,normal,84,skyblue,10
239,15,16,93.75,73,False,normal,85,skyblue,10
166,15,15,100.0,73,False,normal,86,skyblue,10
230,15,18,83.33333333333334,73,False,normal,87,skyblue,10
51,15,18,83.33333333333334,73,False,normal,88,skyblue,10
162,15,15,100.0,73,False,normal,89,skyblue,10
76,14,16,87.5,91,False,normal,90,skyblue,10
274,14,14,100.0,91,False,normal,91,skyblue,10
279,14,14,100.0,91,False,normal,92,skyblue,10
101,14,14,100.0,91,False,normal,93,skyblue,10
225,14,14,100.0,91,False,normal,94,skyblue,10
3,14,14,100.0,91,False,normal,95,skyblue,10
120,14,14,100.0,91,False,normal,96,skyblue,10
164,14,14,100.0,91,False,normal,97,skyblue,10
68,14,14,100.0,91,False,normal,98,skyblue,10
27,14,15,93.33333333333333,91,False,normal,99,skyblue,10
43,14,14,100.0,91,False,normal,100,skyblue,10
66,14,15,93.33333333333333,91,False,normal,101,skyblue,10
205,14,15,93.33333333333333,91,False,normal,102,skyblue,10
52,14,16,87.5,91,False,normal,103,skyblue,10
16,14,15,93.33333333333333,91,False,normal,104,skyblue,10
129,14,14,100.0,91,False,normal,105,skyblue,10
125,14,16,87.5,91,False,normal,106,skyblue,10
135,14,15,93.33333333333333,91,False,normal,107,skyblue,10
123,14,16,87.5,91,False,normal,108,skyblue,10
182,14,19,73.68421052631578,91,False,normal,109,skyblue,10
137,14,16,87.5,91,False,normal,110,skyblue,10
133,14,14,100.0,91,False,normal,111,skyblue,10
181,14,16,87.5,91,False,normal,112,skyblue,10
172,14,19,73.68421052631578,91,False,normal,113,skyblue,10
198,14,14,100.0,91,False,normal,114,skyblue,10
234,14,16,87.5,91,False,normal,115,skyblue,10
196,14,15,93.33333333333333,91,False,normal,116,skyblue,10
121,14,14,100.0,91,False,normal,117,skyblue,10
124,14,14,100.0,91,False,normal,118,skyblue,10
31,13,15,86.66666666666667,120,False,normal,119,skyblue,10
86,13,14,92.85714285714286,120,False,normal,120,skyblue,10
45,13,17,76.47058823529412,120,False,normal,121,skyblue,10
7,13,16,81.25,120,False,normal,122,skyblue,10
13,13,13,100.0,120,False,normal,123,skyblue,10
85,13,13,100.0,120,False,normal,124,skyblue,10
88,13,14,92.85714285714286,120,False,normal,125,skyblue,10
53,13,13,100.0,120,False,normal,126,skyblue,10
314,13,13,100.0,120,False,normal,127,skyblue,10
74,13,13,100.0,120,False,normal,128,skyblue,10
132,13,14,92.85714285714286,120,False,normal,129,skyblue,10
262,13,14,92.85714285714286,120,False,normal,130,skyblue,10
151,13,13,100.0,120,False,normal,131,skyblue,10
287,13,23,56.52173913043478,120,False,normal,132,skyblue,10
109,13,13,100.0,120,False,normal,133,skyblue,10
161,13,15,86.66666666666667,120,False,normal,134,skyblue,10
147,13,13,100.0,120,False,normal,135,skyblue,10
184,13,14,92.85714285714286,120,False,normal,136,skyblue,10
157,13,14,92.85714285714286,120,False,normal,137,skyblue,10
241,13,14,92.85714285714286,120,False,normal,138,skyblue,10
201,13,13,100.0,120,False,normal,139,skyblue,10
223,13,13,100.0,120,False,normal,140,skyblue,10
237,13,13,100.0,120,False,normal,141,skyblue,10
209,13,15,86.66666666666667,120,False,normal,142,skyblue,10
232,13,14,92.85714285714286,120,False,normal,143,skyblue,10
208,13,18,72.22222222222221,120,False,normal,144,skyblue,10
259,13,16,81.25,120,False,normal,145,skyblue,10
55,12,12,100.0,147,False,normal,146,skyblue,10
312,12,14,85.71428571428571,147,False,normal,147,skyblue,10
61,12,13,92.3076923076923,147,False,normal,148,skyblue,10
297,12,15,80.0,147,False,normal,149,skyblue,10
116,12,15,80.0,147,False,normal,150,skyblue,10
275,12,12,100.0,147,False,normal,151,skyblue,10
130,12,13,92.3076923076923,147,False,normal,152,skyblue,10
149,12,13,92.3076923076923,147,False,normal,153,skyblue,10
154,12,15,80.0,147,False,normal,154,skyblue,10
270,12,13,92.3076923076923,147,False,normal,155,skyblue,10
260,12,12,100.0,147,False,normal,156,skyblue,10
96,12,12,100.0,147,False,normal,157,skyblue,10
98,12,13,92.3076923076923,147,False,normal,158,skyblue,10
144,12,13,92.3076923076923,147,False,normal,159,skyblue,10
200,12,12,100.0,147,False,normal,160,skyblue,10
163,12,14,85.71428571428571,147,False,normal,161,skyblue,10
168,12,12,100.0,147,False,normal,162,skyblue,10
206,12,13,92.3076923076923,147,False,normal,163,skyblue,10
211,12,12,100.0,147,True,year_special,164,red,60
11,12,15,80.0,147,False,normal,165,skyblue,10
17,12,12,100.0,147,False,normal,166,skyblue,10
4,12,15,80.0,147,False,normal,167,skyblue,10
1,12,18,66.66666666666666,147,False,normal,168,skyblue,10
231,11,15,73.33333333333333,170,False,normal,169,skyblue,10
179,11,11,100.0,170,False,normal,170,skyblue,10
165,11,12,91.66666666666666,170,False,normal,171,skyblue,10
202,11,12,91.66666666666666,170,False,normal,172,skyblue,10
111,11,15,73.33333333333333,170,False,normal,173,skyblue,10
70,11,13,84.61538461538461,170,False,normal,174,skyblue,10
78,11,11,100.0,170,False,normal,175,skyblue,10
105,11,12,91.66666666666666,170,False,normal,176,skyblue,10
108,11,12,91.66666666666666,170,False,normal,177,skyblue,10
160,11,13,84.61538461538461,170,False,normal,178,skyblue,10
155,11,11,100.0,170,False,normal,179,skyblue,10
183,11,13,84.61538461538461,170,False,normal,180,skyblue,10
69,11,11,100.0,170,False,normal,181,skyblue,10
64,11,12,91.66666666666666,170,False,normal,182,skyblue,10
20,11,11,100.0,170,False,normal,183,skyblue,10
22,11,11,100.0,170,False,normal,184,skyblue,10
87,11,13,84.61538461538461,170,False,normal,185,skyblue,10
80,11,14,78.57142857142857,170,False,normal,186,skyblue,10
72,11,12,91.66666666666666,170,False,normal,187,skyblue,10
