labcode,count_2023,rank_2023,is_special,special_type,x,color,size
89,38,1,False,normal,0,skyblue,10
247,34,2,False,normal,1,skyblue,10
85,34,2,False,normal,2,skyblue,10
184,31,4,False,normal,3,skyblue,10
102,31,4,False,normal,4,skyblue,10
307,30,6,False,normal,5,skyblue,10
57,30,6,False,normal,6,skyblue,10
270,30,6,False,normal,7,skyblue,10
54,30,6,False,normal,8,skyblue,10
268,30,6,False,normal,9,skyblue,10
112,30,6,False,normal,10,skyblue,10
173,29,12,False,normal,11,skyblue,10
67,29,12,False,normal,12,skyblue,10
248,29,12,False,normal,13,skyblue,10
186,28,15,False,normal,14,skyblue,10
149,28,15,False,normal,15,skyblue,10
245,28,15,False,normal,16,skyblue,10
75,28,15,False,normal,17,skyblue,10
199,28,15,False,normal,18,skyblue,10
180,27,20,False,normal,19,skyblue,10
135,27,20,False,normal,20,skyblue,10
206,27,20,False,normal,21,skyblue,10
72,27,20,False,normal,22,skyblue,10
202,27,20,False,normal,23,skyblue,10
27,27,20,False,normal,24,skyblue,10
43,27,20,True,year_special,25,blue,60
185,27,20,False,normal,26,skyblue,10
68,26,28,False,normal,27,skyblue,10
155,26,28,False,normal,28,skyblue,10
330,26,28,False,normal,29,skyblue,10
144,26,28,False,normal,30,skyblue,10
104,26,28,False,normal,31,skyblue,10
79,26,28,False,normal,32,skyblue,10
189,26,28,False,normal,33,skyblue,10
235,25,35,False,normal,34,skyblue,10
47,25,35,False,normal,35,skyblue,10
34,25,35,False,normal,36,skyblue,10
46,25,35,False,normal,37,skyblue,10
223,25,35,False,normal,38,skyblue,10
42,25,35,False,normal,39,skyblue,10
126,25,35,False,normal,40,skyblue,10
218,25,35,False,normal,41,skyblue,10
279,25,35,False,normal,42,skyblue,10
1,24,44,False,normal,43,skyblue,10
69,24,44,False,normal,44,skyblue,10
151,24,44,False,normal,45,skyblue,10
158,24,44,False,normal,46,skyblue,10
130,24,44,False,normal,47,skyblue,10
146,24,44,False,normal,48,skyblue,10
17,24,44,False,normal,49,skyblue,10
145,24,44,False,normal,50,skyblue,10
281,24,44,False,normal,51,skyblue,10
119,23,53,False,normal,52,skyblue,10
188,23,53,False,normal,53,skyblue,10
133,23,53,False,normal,54,skyblue,10
123,23,53,False,normal,55,skyblue,10
66,23,53,False,normal,56,skyblue,10
99,23,53,False,normal,57,skyblue,10
63,23,53,False,normal,58,skyblue,10
165,23,53,False,normal,59,skyblue,10
140,22,61,False,normal,60,skyblue,10
222,22,61,False,normal,61,skyblue,10
233,22,61,False,normal,62,skyblue,10
19,22,61,False,normal,63,skyblue,10
11,22,61,False,normal,64,skyblue,10
29,22,61,False,normal,65,skyblue,10
33,22,61,False,normal,66,skyblue,10
58,22,61,False,normal,67,skyblue,10
334,22,61,False,normal,68,skyblue,10
263,22,61,False,normal,69,skyblue,10
210,22,61,False,normal,70,skyblue,10
157,22,61,False,normal,71,skyblue,10
232,22,61,False,normal,72,skyblue,10
25,22,61,False,normal,73,skyblue,10
277,22,61,False,normal,74,skyblue,10
