labcode,a_count_2025,total_count_2025,a_rate_2025,rank_2025,is_special,special_type,x,color,size
537,36,36,100.0,1,False,normal,0,skyblue,10
15,34,35,97.14285714285714,2,True,year_special,1,orange,60
128,33,36,91.66666666666666,3,False,normal,2,skyblue,10
191,32,33,96.96969696969697,4,False,normal,3,skyblue,10
25,32,33,96.96969696969697,4,False,normal,4,skyblue,10
159,30,34,88.23529411764706,6,False,normal,5,skyblue,10
276,29,34,85.29411764705883,7,False,normal,6,skyblue,10
527,29,29,100.0,7,False,normal,7,skyblue,10
516,28,29,96.55172413793103,9,False,normal,8,skyblue,10
371,28,30,93.33333333333333,9,False,normal,9,skyblue,10
315,28,32,87.5,9,False,normal,10,skyblue,10
347,28,30,93.33333333333333,9,False,normal,11,skyblue,10
52,28,37,75.67567567567568,9,False,normal,12,skyblue,10
90,28,31,90.32258064516128,9,False,normal,13,skyblue,10
393,27,30,90.0,15,False,normal,14,skyblue,10
72,26,27,96.29629629629629,16,False,normal,15,skyblue,10
110,26,28,92.85714285714286,16,False,normal,16,skyblue,10
319,26,32,81.25,16,False,normal,17,skyblue,10
65,25,26,96.15384615384616,19,False,normal,18,skyblue,10
187,25,26,96.15384615384616,19,False,normal,19,skyblue,10
379,25,27,92.5925925925926,19,False,normal,20,skyblue,10
344,25,28,89.28571428571429,19,False,normal,21,skyblue,10
2,25,25,100.0,19,False,normal,22,skyblue,10
370,25,25,100.0,19,False,normal,23,skyblue,10
156,25,30,83.33333333333334,19,False,normal,24,skyblue,10
60,25,25,100.0,19,False,normal,25,skyblue,10
63,25,29,86.20689655172413,19,False,normal,26,skyblue,10
443,25,26,96.15384615384616,19,False,normal,27,skyblue,10
348,24,29,82.75862068965517,29,False,normal,28,skyblue,10
402,24,27,88.88888888888889,29,False,normal,29,skyblue,10
53,24,26,92.3076923076923,29,False,normal,30,skyblue,10
382,24,26,92.3076923076923,29,False,normal,31,skyblue,10
166,24,26,92.3076923076923,29,False,normal,32,skyblue,10
66,24,26,92.3076923076923,29,False,normal,33,skyblue,10
161,24,24,100.0,29,False,normal,34,skyblue,10
204,23,30,76.66666666666667,36,False,normal,35,skyblue,10
119,23,26,88.46153846153845,36,False,normal,36,skyblue,10
114,23,24,95.83333333333334,36,False,normal,37,skyblue,10
58,23,32,71.875,36,False,normal,38,skyblue,10
341,22,31,70.96774193548387,40,False,normal,39,skyblue,10
150,22,26,84.61538461538461,40,False,normal,40,skyblue,10
178,22,23,95.65217391304348,40,False,normal,41,skyblue,10
291,22,26,84.61538461538461,40,False,normal,42,skyblue,10
242,22,23,95.65217391304348,40,False,normal,43,skyblue,10
230,22,25,88.0,40,False,normal,44,skyblue,10
208,22,23,95.65217391304348,40,False,normal,45,skyblue,10
421,21,21,100.0,47,False,normal,46,skyblue,10
304,21,24,87.5,47,False,normal,47,skyblue,10
152,21,23,91.30434782608695,47,False,normal,48,skyblue,10
484,21,24,87.5,47,False,normal,49,skyblue,10
170,21,27,77.77777777777779,47,False,normal,50,skyblue,10
38,21,26,80.76923076923077,47,False,normal,51,skyblue,10
