labcode,count_2022,rank_2022,is_special,special_type,x,color,size
14,46,1,False,normal,0,skyblue,10
247,42,2,False,normal,1,skyblue,10
217,41,3,False,normal,2,skyblue,10
312,38,4,False,normal,3,skyblue,10
214,38,4,False,normal,4,skyblue,10
13,35,6,False,normal,5,skyblue,10
83,35,6,False,normal,6,skyblue,10
7,34,8,False,normal,7,skyblue,10
68,34,8,False,normal,8,skyblue,10
24,33,10,False,normal,9,skyblue,10
221,33,10,False,normal,10,skyblue,10
253,33,10,False,normal,11,skyblue,10
157,32,13,False,normal,12,skyblue,10
49,32,13,False,normal,13,skyblue,10
303,32,13,False,normal,14,skyblue,10
69,32,13,False,normal,15,skyblue,10
50,31,17,False,normal,16,skyblue,10
76,31,17,False,normal,17,skyblue,10
84,31,17,False,normal,18,skyblue,10
94,31,17,False,normal,19,skyblue,10
96,31,17,False,normal,20,skyblue,10
216,31,17,False,normal,21,skyblue,10
110,30,23,False,normal,22,skyblue,10
128,30,23,False,normal,23,skyblue,10
60,30,23,False,normal,24,skyblue,10
231,30,23,False,normal,25,skyblue,10
158,29,27,False,normal,26,skyblue,10
271,29,27,False,normal,27,skyblue,10
52,29,27,False,normal,28,skyblue,10
264,29,27,False,normal,29,skyblue,10
8,29,27,True,year_special,30,green,60
239,29,27,False,normal,31,skyblue,10
123,28,33,False,normal,32,skyblue,10
299,28,33,False,normal,33,skyblue,10
118,27,35,False,normal,34,skyblue,10
213,27,35,False,normal,35,skyblue,10
47,27,35,False,normal,36,skyblue,10
272,27,35,False,normal,37,skyblue,10
309,27,35,False,normal,38,skyblue,10
21,26,40,False,normal,39,skyblue,10
113,26,40,False,normal,40,skyblue,10
88,26,40,False,normal,41,skyblue,10
58,26,40,False,normal,42,skyblue,10
230,26,40,False,normal,43,skyblue,10
250,26,40,False,normal,44,skyblue,10
220,26,40,False,normal,45,skyblue,10
39,26,40,False,normal,46,skyblue,10
255,25,48,False,normal,47,skyblue,10
33,25,48,False,normal,48,skyblue,10
9,25,48,False,normal,49,skyblue,10
156,25,48,False,normal,50,skyblue,10
306,25,48,False,normal,51,skyblue,10
40,25,48,False,normal,52,skyblue,10
175,25,48,False,normal,53,skyblue,10
171,24,55,False,normal,54,skyblue,10
6,24,55,False,normal,55,skyblue,10
4,24,55,False,normal,56,skyblue,10
133,24,55,False,normal,57,skyblue,10
42,24,55,False,normal,58,skyblue,10
51,24,55,False,normal,59,skyblue,10
159,24,55,False,normal,60,skyblue,10
32,23,62,False,normal,61,skyblue,10
126,23,62,False,normal,62,skyblue,10
169,23,62,False,normal,63,skyblue,10
261,23,62,False,normal,64,skyblue,10
18,23,62,False,normal,65,skyblue,10
143,23,62,False,normal,66,skyblue,10
310,23,62,False,normal,67,skyblue,10
284,23,62,False,normal,68,skyblue,10
16,23,62,False,normal,69,skyblue,10
22,23,62,False,normal,70,skyblue,10
36,23,62,False,normal,71,skyblue,10
74,23,62,False,normal,72,skyblue,10
204,22,74,False,normal,73,skyblue,10
235,22,74,False,normal,74,skyblue,10
20,22,74,False,normal,75,skyblue,10
140,22,74,False,normal,76,skyblue,10
120,22,74,False,normal,77,skyblue,10
119,22,74,False,normal,78,skyblue,10
227,22,74,False,normal,79,skyblue,10
57,22,74,False,normal,80,skyblue,10
262,22,74,False,normal,81,skyblue,10
191,21,83,False,normal,82,skyblue,10
29,21,83,False,normal,83,skyblue,10
248,21,83,False,normal,84,skyblue,10
59,21,83,False,normal,85,skyblue,10
177,21,83,False,normal,86,skyblue,10
17,21,83,False,normal,87,skyblue,10
276,21,83,False,normal,88,skyblue,10
160,21,83,False,normal,89,skyblue,10
233,21,83,False,normal,90,skyblue,10
251,21,83,False,normal,91,skyblue,10
203,21,83,False,normal,92,skyblue,10
238,21,83,False,normal,93,skyblue,10
163,21,83,False,normal,94,skyblue,10
87,21,83,False,normal,95,skyblue,10
121,21,83,False,normal,96,skyblue,10
198,20,98,False,normal,97,skyblue,10
148,20,98,False,normal,98,skyblue,10
210,20,98,False,normal,99,skyblue,10
45,20,98,False,normal,100,skyblue,10
298,20,98,False,normal,101,skyblue,10
78,20,98,False,normal,102,skyblue,10
207,20,98,False,normal,103,skyblue,10
31,20,98,False,normal,104,skyblue,10
155,20,98,False,normal,105,skyblue,10
173,19,107,False,normal,106,skyblue,10
28,19,107,False,normal,107,skyblue,10
196,19,107,False,normal,108,skyblue,10
107,19,107,False,normal,109,skyblue,10
266,19,107,False,normal,110,skyblue,10
164,19,107,False,normal,111,skyblue,10
38,19,107,False,normal,112,skyblue,10
192,19,107,False,normal,113,skyblue,10
289,19,107,False,normal,114,skyblue,10
115,19,107,False,normal,115,skyblue,10
290,19,107,False,normal,116,skyblue,10
296,19,107,False,normal,117,skyblue,10
62,19,107,False,normal,118,skyblue,10
162,19,107,False,normal,119,skyblue,10
187,18,121,False,normal,120,skyblue,10
161,18,121,False,normal,121,skyblue,10
81,18,121,False,normal,122,skyblue,10
138,18,121,False,normal,123,skyblue,10
149,18,121,False,normal,124,skyblue,10
132,18,121,False,normal,125,skyblue,10
178,18,121,False,normal,126,skyblue,10
71,18,121,False,normal,127,skyblue,10
186,17,129,False,normal,128,skyblue,10
130,17,129,False,normal,129,skyblue,10
281,17,129,False,normal,130,skyblue,10
297,17,129,False,normal,131,skyblue,10
183,17,129,False,normal,132,skyblue,10
70,17,129,False,normal,133,skyblue,10
295,17,129,False,normal,134,skyblue,10
99,16,136,False,normal,135,skyblue,10
10,16,136,False,normal,136,skyblue,10
25,16,136,False,normal,137,skyblue,10
259,16,136,False,normal,138,skyblue,10
202,16,136,False,normal,139,skyblue,10
136,16,136,False,normal,140,skyblue,10
137,16,136,False,normal,141,skyblue,10
26,16,136,False,normal,142,skyblue,10
269,16,136,False,normal,143,skyblue,10
98,16,136,False,normal,144,skyblue,10
129,15,146,False,normal,145,skyblue,10
135,15,146,False,normal,146,skyblue,10
67,15,146,False,normal,147,skyblue,10
101,15,146,False,normal,148,skyblue,10
172,15,146,False,normal,149,skyblue,10
41,15,146,False,normal,150,skyblue,10
226,15,146,False,normal,151,skyblue,10
95,15,146,False,normal,152,skyblue,10
92,15,146,False,normal,153,skyblue,10
305,15,146,False,normal,154,skyblue,10
265,15,146,False,normal,155,skyblue,10
241,15,146,False,normal,156,skyblue,10
180,14,158,False,normal,157,skyblue,10
56,14,158,False,normal,158,skyblue,10
194,14,158,False,normal,159,skyblue,10
90,14,158,False,normal,160,skyblue,10
72,14,158,False,normal,161,skyblue,10
127,14,158,False,normal,162,skyblue,10
12,14,158,False,normal,163,skyblue,10
153,14,158,False,normal,164,skyblue,10
64,14,158,False,normal,165,skyblue,10
246,14,158,False,normal,166,skyblue,10
240,14,158,False,normal,167,skyblue,10
80,14,158,False,normal,168,skyblue,10
134,14,158,False,normal,169,skyblue,10
75,13,171,False,normal,170,skyblue,10
234,13,171,False,normal,171,skyblue,10
37,13,171,False,normal,172,skyblue,10
146,13,171,False,normal,173,skyblue,10
79,13,171,False,normal,174,skyblue,10
222,13,171,False,normal,175,skyblue,10
224,13,171,False,normal,176,skyblue,10
150,13,171,False,normal,177,skyblue,10
124,13,171,False,normal,178,skyblue,10
5,13,171,False,normal,179,skyblue,10
223,13,171,False,normal,180,skyblue,10
199,13,171,False,normal,181,skyblue,10
286,12,183,False,normal,182,skyblue,10
93,12,183,False,normal,183,skyblue,10
109,12,183,False,normal,184,skyblue,10
23,12,183,False,normal,185,skyblue,10
103,12,183,False,normal,186,skyblue,10
97,12,183,False,normal,187,skyblue,10
243,12,183,False,normal,188,skyblue,10
117,12,183,False,normal,189,skyblue,10
34,11,191,False,normal,190,skyblue,10
154,11,191,False,normal,191,skyblue,10
61,11,191,False,normal,192,skyblue,10
218,11,191,False,normal,193,skyblue,10
106,11,191,False,normal,194,skyblue,10
105,11,191,False,normal,195,skyblue,10
228,11,191,False,normal,196,skyblue,10
201,11,191,False,normal,197,skyblue,10
195,11,191,False,normal,198,skyblue,10
184,10,200,False,normal,199,skyblue,10
301,10,200,False,normal,200,skyblue,10
53,10,200,False,normal,201,skyblue,10
168,10,200,False,normal,202,skyblue,10
258,10,200,False,normal,203,skyblue,10
313,10,200,False,normal,204,skyblue,10
165,10,200,False,normal,205,skyblue,10
139,10,200,False,normal,206,skyblue,10
27,9,208,False,normal,207,skyblue,10
147,9,208,False,normal,208,skyblue,10
19,9,208,False,normal,209,skyblue,10
188,9,208,False,normal,210,skyblue,10
278,9,208,False,normal,211,skyblue,10
43,9,208,False,normal,212,skyblue,10
86,9,208,False,normal,213,skyblue,10
211,9,208,False,normal,214,skyblue,10
114,9,208,False,normal,215,skyblue,10
285,9,208,False,normal,216,skyblue,10
65,9,208,False,normal,217,skyblue,10
111,9,208,False,normal,218,skyblue,10
219,9,208,False,normal,219,skyblue,10
