labcode,count_2021,rank_2021,is_special,special_type,x,color,size
9,28,1,False,normal,0,skyblue,10
18,28,1,False,normal,1,skyblue,10
261,28,1,False,normal,2,skyblue,10
322,27,4,False,normal,3,skyblue,10
254,27,4,False,normal,4,skyblue,10
283,27,4,False,normal,5,skyblue,10
233,27,4,False,normal,6,skyblue,10
268,27,4,False,normal,7,skyblue,10
251,27,4,False,normal,8,skyblue,10
240,26,10,False,normal,9,skyblue,10
227,26,10,False,normal,10,skyblue,10
50,26,10,False,normal,11,skyblue,10
34,25,13,False,normal,12,skyblue,10
10,25,13,False,normal,13,skyblue,10
32,25,13,False,normal,14,skyblue,10
238,25,13,False,normal,15,skyblue,10
219,24,17,False,normal,16,skyblue,10
310,24,17,False,normal,17,skyblue,10
25,24,17,False,normal,18,skyblue,10
256,24,17,False,normal,19,skyblue,10
291,24,17,False,normal,20,skyblue,10
14,24,17,False,normal,21,skyblue,10
26,24,17,False,normal,22,skyblue,10
41,24,17,False,normal,23,skyblue,10
35,23,25,False,normal,24,skyblue,10
287,23,25,False,normal,25,skyblue,10
324,23,25,False,normal,26,skyblue,10
242,23,25,False,normal,27,skyblue,10
255,23,25,False,normal,28,skyblue,10
257,23,25,False,normal,29,skyblue,10
248,23,25,False,normal,30,skyblue,10
6,23,25,False,normal,31,skyblue,10
320,22,33,False,normal,32,skyblue,10
39,22,33,False,normal,33,skyblue,10
212,22,33,False,normal,34,skyblue,10
2,22,33,False,normal,35,skyblue,10
313,22,33,False,normal,36,skyblue,10
5,22,33,False,normal,37,skyblue,10
267,22,33,False,normal,38,skyblue,10
249,21,40,False,normal,39,skyblue,10
266,21,40,False,normal,40,skyblue,10
317,21,40,False,normal,41,skyblue,10
224,20,43,False,normal,42,skyblue,10
48,20,43,False,normal,43,skyblue,10
250,20,43,False,normal,44,skyblue,10
15,20,43,False,normal,45,skyblue,10
213,19,47,False,normal,46,skyblue,10
228,19,47,False,normal,47,skyblue,10
8,19,47,False,normal,48,skyblue,10
216,19,47,False,normal,49,skyblue,10
197,19,47,False,normal,50,skyblue,10
182,19,47,False,normal,51,skyblue,10
156,19,47,False,normal,52,skyblue,10
305,19,47,False,normal,53,skyblue,10
180,19,47,False,normal,54,skyblue,10
172,19,47,False,normal,55,skyblue,10
208,18,57,False,normal,56,skyblue,10
295,18,57,False,normal,57,skyblue,10
195,18,57,False,normal,58,skyblue,10
215,18,57,False,normal,59,skyblue,10
221,18,57,False,normal,60,skyblue,10
230,18,57,False,normal,61,skyblue,10
51,18,57,False,normal,62,skyblue,10
19,18,57,False,normal,63,skyblue,10
186,18,57,False,normal,64,skyblue,10
84,18,57,False,normal,65,skyblue,10
189,18,57,False,normal,66,skyblue,10
148,18,57,False,normal,67,skyblue,10
1,18,57,False,normal,68,skyblue,10
193,17,70,False,normal,69,skyblue,10
81,17,70,False,normal,70,skyblue,10
99,17,70,False,normal,71,skyblue,10
243,17,70,False,normal,72,skyblue,10
323,17,70,False,normal,73,skyblue,10
169,17,70,False,normal,74,skyblue,10
207,17,70,False,normal,75,skyblue,10
45,17,70,False,normal,76,skyblue,10
252,17,70,False,normal,77,skyblue,10
137,16,79,False,normal,78,skyblue,10
171,16,79,False,normal,79,skyblue,10
59,16,79,False,normal,80,skyblue,10
259,16,79,False,normal,81,skyblue,10
210,16,79,False,normal,82,skyblue,10
185,16,79,False,normal,83,skyblue,10
38,16,79,False,normal,84,skyblue,10
234,16,79,False,normal,85,skyblue,10
36,16,79,False,normal,86,skyblue,10
125,16,79,False,normal,87,skyblue,10
52,16,79,False,normal,88,skyblue,10
181,16,79,False,normal,89,skyblue,10
123,16,79,False,normal,90,skyblue,10
235,16,79,False,normal,91,skyblue,10
239,16,79,False,normal,92,skyblue,10
150,16,79,False,normal,93,skyblue,10
7,16,79,False,normal,94,skyblue,10
76,16,79,False,normal,95,skyblue,10
102,16,79,False,normal,96,skyblue,10
289,15,98,False,normal,97,skyblue,10
146,15,98,False,normal,98,skyblue,10
231,15,98,False,normal,99,skyblue,10
31,15,98,False,normal,100,skyblue,10
21,15,98,False,normal,101,skyblue,10
191,15,98,False,normal,102,skyblue,10
190,15,98,False,normal,103,skyblue,10
166,15,98,False,normal,104,skyblue,10
297,15,98,False,normal,105,skyblue,10
113,15,98,False,normal,106,skyblue,10
199,15,98,False,normal,107,skyblue,10
92,15,98,False,normal,108,skyblue,10
111,15,98,False,normal,109,skyblue,10
16,15,98,False,normal,110,skyblue,10
152,15,98,False,normal,111,skyblue,10
153,15,98,False,normal,112,skyblue,10
162,15,98,False,normal,113,skyblue,10
154,15,98,False,normal,114,skyblue,10
66,15,98,False,normal,115,skyblue,10
325,15,98,False,normal,116,skyblue,10
205,15,98,False,normal,117,skyblue,10
4,15,98,False,normal,118,skyblue,10
27,15,98,False,normal,119,skyblue,10
161,15,98,False,normal,120,skyblue,10
103,15,98,False,normal,121,skyblue,10
209,15,98,False,normal,122,skyblue,10
11,15,98,False,normal,123,skyblue,10
116,15,98,False,normal,124,skyblue,10
135,15,98,False,normal,125,skyblue,10
196,15,98,False,normal,126,skyblue,10
133,14,128,False,normal,127,skyblue,10
225,14,128,False,normal,128,skyblue,10
129,14,128,False,normal,129,skyblue,10
132,14,128,False,normal,130,skyblue,10
93,14,128,False,normal,131,skyblue,10
86,14,128,False,normal,132,skyblue,10
101,14,128,False,normal,133,skyblue,10
279,14,128,False,normal,134,skyblue,10
120,14,128,False,normal,135,skyblue,10
68,14,128,False,normal,136,skyblue,10
299,14,128,False,normal,137,skyblue,10
88,14,128,False,normal,138,skyblue,10
124,14,128,False,normal,139,skyblue,10
43,14,128,False,normal,140,skyblue,10
121,14,128,False,normal,141,skyblue,10
198,14,128,False,normal,142,skyblue,10
241,14,128,False,normal,143,skyblue,10
164,14,128,False,normal,144,skyblue,10
312,14,128,False,normal,145,skyblue,10
3,14,128,False,normal,146,skyblue,10
80,14,128,False,normal,147,skyblue,10
157,14,128,False,normal,148,skyblue,10
274,14,128,False,normal,149,skyblue,10
107,14,128,False,normal,150,skyblue,10
184,14,128,False,normal,151,skyblue,10
232,14,128,False,normal,152,skyblue,10
126,14,128,False,normal,153,skyblue,10
163,14,128,False,normal,154,skyblue,10
263,14,128,False,normal,155,skyblue,10
262,14,128,False,normal,156,skyblue,10
98,13,158,False,normal,157,skyblue,10
246,13,158,False,normal,158,skyblue,10
70,13,158,False,normal,159,skyblue,10
149,13,158,False,normal,160,skyblue,10
53,13,158,False,normal,161,skyblue,10
147,13,158,False,normal,162,skyblue,10
139,13,158,False,normal,163,skyblue,10
290,13,158,False,normal,164,skyblue,10
314,13,158,False,normal,165,skyblue,10
109,13,158,False,normal,166,skyblue,10
223,13,158,False,normal,167,skyblue,10
74,13,158,False,normal,168,skyblue,10
85,13,158,False,normal,169,skyblue,10
183,13,158,False,normal,170,skyblue,10
13,13,158,False,normal,171,skyblue,10
12,13,158,False,normal,172,skyblue,10
130,13,158,False,normal,173,skyblue,10
160,13,158,False,normal,174,skyblue,10
87,13,158,False,normal,175,skyblue,10
151,13,158,False,normal,176,skyblue,10
206,13,158,False,normal,177,skyblue,10
144,13,158,False,normal,178,skyblue,10
270,13,158,False,normal,179,skyblue,10
46,13,158,False,normal,180,skyblue,10
201,13,158,False,normal,181,skyblue,10
237,13,158,False,normal,182,skyblue,10
29,13,158,False,normal,183,skyblue,10
61,13,158,False,normal,184,skyblue,10
63,13,158,False,normal,185,skyblue,10
222,12,187,False,normal,186,skyblue,10
96,12,187,False,normal,187,skyblue,10
72,12,187,False,normal,188,skyblue,10
275,12,187,False,normal,189,skyblue,10
108,12,187,False,normal,190,skyblue,10
64,12,187,False,normal,191,skyblue,10
17,12,187,False,normal,192,skyblue,10
260,12,187,False,normal,193,skyblue,10
202,12,187,False,normal,194,skyblue,10
105,12,187,False,normal,195,skyblue,10
211,12,187,True,year_special,196,red,60
165,12,187,False,normal,197,skyblue,10
55,12,187,False,normal,198,skyblue,10
56,12,187,False,normal,199,skyblue,10
307,12,187,False,normal,200,skyblue,10
200,12,187,False,normal,201,skyblue,10
168,12,187,False,normal,202,skyblue,10
321,11,204,False,normal,203,skyblue,10
20,11,204,False,normal,204,skyblue,10
155,11,204,False,normal,205,skyblue,10
176,11,204,False,normal,206,skyblue,10
22,11,204,False,normal,207,skyblue,10
78,11,204,False,normal,208,skyblue,10
69,11,204,False,normal,209,skyblue,10
179,11,204,False,normal,210,skyblue,10
134,11,204,False,normal,211,skyblue,10
281,11,204,False,normal,212,skyblue,10
214,11,204,False,normal,213,skyblue,10
75,11,204,False,normal,214,skyblue,10
177,11,204,False,normal,215,skyblue,10
187,11,204,False,normal,216,skyblue,10
173,10,218,False,normal,217,skyblue,10
106,10,218,False,normal,218,skyblue,10
112,10,218,False,normal,219,skyblue,10
245,10,218,False,normal,220,skyblue,10
47,10,218,False,normal,221,skyblue,10
77,10,218,False,normal,222,skyblue,10
141,10,218,False,normal,223,skyblue,10
308,9,225,False,normal,224,skyblue,10
94,9,225,False,normal,225,skyblue,10
42,9,225,False,normal,226,skyblue,10
95,9,225,False,normal,227,skyblue,10
33,9,225,False,normal,228,skyblue,10
316,9,225,False,normal,229,skyblue,10
258,9,225,False,normal,230,skyblue,10
304,8,232,False,normal,231,skyblue,10
286,8,232,False,normal,232,skyblue,10
110,8,232,False,normal,233,skyblue,10
253,8,232,False,normal,234,skyblue,10
60,7,236,False,normal,235,skyblue,10
140,7,236,False,normal,236,skyblue,10
273,7,236,False,normal,237,skyblue,10
143,7,236,False,normal,238,skyblue,10
298,7,236,False,normal,239,skyblue,10
89,7,236,False,normal,240,skyblue,10
91,7,236,False,normal,241,skyblue,10
192,7,236,False,normal,242,skyblue,10
159,7,236,False,normal,243,skyblue,10
158,7,236,False,normal,244,skyblue,10
118,7,236,False,normal,245,skyblue,10
30,6,247,False,normal,246,skyblue,10
269,6,247,False,normal,247,skyblue,10
229,6,247,False,normal,248,skyblue,10
280,6,247,False,normal,249,skyblue,10
264,5,251,False,normal,250,skyblue,10
288,5,251,False,normal,251,skyblue,10
122,4,253,False,normal,252,skyblue,10
306,3,254,False,normal,253,skyblue,10
326,3,254,False,normal,254,skyblue,10
79,2,256,False,normal,255,skyblue,10
220,2,256,False,normal,256,skyblue,10
58,2,256,False,normal,257,skyblue,10
294,2,256,False,normal,258,skyblue,10
142,1,260,False,normal,259,skyblue,10
128,1,260,False,normal,260,skyblue,10
178,1,260,False,normal,261,skyblue,10
117,1,260,False,normal,262,skyblue,10
136,1,260,False,normal,263,skyblue,10
90,1,260,False,normal,264,skyblue,10
73,1,260,False,normal,265,skyblue,10
100,1,260,False,normal,266,skyblue,10
318,1,260,False,normal,267,skyblue,10
284,1,260,False,normal,268,skyblue,10
40,1,260,False,normal,269,skyblue,10
