labcode,a_count_2022,total_count_2022,a_rate_2022,rank_2022,is_special,special_type,x,color,size
223,12,13,92.3076923076923,153,False,normal,161,skyblue,10
124,12,13,92.3076923076923,153,False,normal,162,skyblue,10
150,12,13,92.3076923076923,153,False,normal,163,skyblue,10
139,11,11,100.0,165,False,normal,164,skyblue,10
259,11,15,73.33333333333333,165,False,normal,165,skyblue,10
286,11,12,91.66666666666666,165,False,normal,166,skyblue,10
218,11,11,100.0,165,False,normal,167,skyblue,10
243,11,12,91.66666666666666,165,False,normal,168,skyblue,10
228,11,11,100.0,165,False,normal,169,skyblue,10
154,11,11,100.0,165,False,normal,170,skyblue,10
195,11,11,100.0,165,False,normal,171,skyblue,10
240,11,14,78.57142857142857,165,False,normal,172,skyblue,10
97,11,12,91.66666666666666,165,False,normal,173,skyblue,10
42,11,24,45.83333333333333,165,False,normal,174,skyblue,10
34,11,11,100.0,165,False,normal,175,skyblue,10
23,11,12,91.66666666666666,165,False,normal,176,skyblue,10
29,11,16,68.75,165,False,normal,177,skyblue,10
106,11,11,100.0,165,False,normal,178,skyblue,10
80,11,14,78.57142857142857,165,False,normal,179,skyblue,10
169,11,20,55.00000000000001,165,False,normal,180,skyblue,10
130,11,17,64.70588235294117,165,False,normal,181,skyblue,10
95,11,15,73.33333333333333,165,False,normal,182,skyblue,10
101,11,15,73.33333333333333,165,False,normal,183,skyblue,10
105,11,11,100.0,165,False,normal,184,skyblue,10
117,11,12,91.66666666666666,165,False,normal,185,skyblue,10
61,10,12,83.33333333333334,187,False,normal,186,skyblue,10
109,10,12,83.33333333333334,187,False,normal,187,skyblue,10
5,10,13,76.92307692307693,187,False,normal,188,skyblue,10
79,10,13,76.92307692307693,187,False,normal,189,skyblue,10
184,10,10,100.0,187,False,normal,190,skyblue,10
165,10,10,100.0,187,False,normal,191,skyblue,10
285,9,9,100.0,193,False,normal,192,skyblue,10
65,9,9,100.0,193,False,normal,193,skyblue,10
27,9,9,100.0,193,False,normal,194,skyblue,10
43,9,9,100.0,193,False,normal,195,skyblue,10
313,9,10,90.0,193,False,normal,196,skyblue,10
301,9,10,90.0,193,False,normal,197,skyblue,10
258,9,10,90.0,193,False,normal,198,skyblue,10
111,9,9,100.0,193,False,normal,199,skyblue,10
211,9,9,100.0,193,False,normal,200,skyblue,10
134,9,14,64.28571428571429,193,False,normal,201,skyblue,10
146,9,14,64.28571428571429,193,False,normal,202,skyblue,10
188,9,9,100.0,193,False,normal,203,skyblue,10
19,9,9,100.0,193,False,normal,204,skyblue,10
265,9,15,60.0,193,False,normal,205,skyblue,10
166,9,9,100.0,193,False,normal,206,skyblue,10
273,9,9,100.0,193,False,normal,207,skyblue,10
114,8,9,88.88888888888889,209,False,normal,208,skyblue,10
135,8,17,47.05882352941176,209,False,normal,209,skyblue,10
168,8,10,80.0,209,False,normal,210,skyblue,10
152,8,8,100.0,209,False,normal,211,skyblue,10
201,8,11,72.72727272727273,209,False,normal,212,skyblue,10
189,8,8,100.0,209,False,normal,213,skyblue,10
167,8,8,100.0,209,False,normal,214,skyblue,10
147,8,9,88.88888888888889,209,False,normal,215,skyblue,10
145,8,8,100.0,209,False,normal,216,skyblue,10
263,8,8,100.0,209,False,normal,217,skyblue,10
244,8,8,100.0,209,False,normal,218,skyblue,10
237,8,8,100.0,209,False,normal,219,skyblue,10
1,7,8,87.5,221,False,normal,220,skyblue,10
11,7,7,100.0,221,False,normal,221,skyblue,10
242,7,7,100.0,221,False,normal,222,skyblue,10
287,7,7,100.0,221,False,normal,223,skyblue,10
277,7,8,87.5,221,False,normal,224,skyblue,10
278,7,9,77.77777777777779,221,False,normal,225,skyblue,10
297,7,17,41.17647058823529,221,False,normal,226,skyblue,10
35,7,8,87.5,221,False,normal,227,skyblue,10
104,7,7,100.0,221,False,normal,228,skyblue,10
46,7,7,100.0,221,False,normal,229,skyblue,10
55,7,7,100.0,221,False,normal,230,skyblue,10
91,7,7,100.0,221,False,normal,231,skyblue,10
63,7,7,100.0,221,False,normal,232,skyblue,10
182,7,8,87.5,221,False,normal,233,skyblue,10
86,7,9,77.77777777777779,221,False,normal,234,skyblue,10
219,7,9,77.77777777777779,221,False,normal,235,skyblue,10
179,7,8,87.5,221,False,normal,236,skyblue,10
215,7,7,100.0,221,False,normal,237,skyblue,10
274,7,8,87.5,221,False,normal,238,skyblue,10
295,7,17,41.17647058823529,221,False,normal,239,skyblue,10
292,7,7,100.0,221,False,normal,240,skyblue,10
102,6,6,100.0,242,False,normal,241,skyblue,10
53,6,10,60.0,242,False,normal,242,skyblue,10
89,6,6,100.0,242,False,normal,243,skyblue,10
225,6,6,100.0,242,False,normal,244,skyblue,10
205,6,6,100.0,242,False,normal,245,skyblue,10
10,6,16,37.5,242,False,normal,246,skyblue,10
206,6,8,75.0,242,False,normal,247,skyblue,10
256,6,7,85.71428571428571,242,False,normal,248,skyblue,10
122,6,8,75.0,242,False,normal,249,skyblue,10
208,5,6,83.33333333333334,251,False,normal,250,skyblue,10
288,5,5,100.0,251,False,normal,251,skyblue,10
85,5,5,100.0,251,False,normal,252,skyblue,10
233,5,20,25.0,251,False,normal,253,skyblue,10
185,5,5,100.0,251,False,normal,254,skyblue,10
77,5,5,100.0,251,False,normal,255,skyblue,10
30,4,7,57.14285714285714,257,False,normal,256,skyblue,10
125,3,8,37.5,258,False,normal,257,skyblue,10
304,3,7,42.857142857142854,258,False,normal,258,skyblue,10
307,3,6,50.0,258,False,normal,259,skyblue,10
100,3,8,37.5,258,False,normal,260,skyblue,10
141,3,4,75.0,258,False,normal,261,skyblue,10
194,3,14,21.428571428571427,258,False,normal,262,skyblue,10
176,3,3,100.0,258,False,normal,263,skyblue,10
66,3,3,100.0,258,False,normal,264,skyblue,10
44,2,2,100.0,266,False,normal,265,skyblue,10
260,2,2,100.0,266,False,normal,266,skyblue,10
280,2,2,100.0,266,False,normal,267,skyblue,10
308,2,2,100.0,266,False,normal,268,skyblue,10
181,2,2,100.0,266,False,normal,269,skyblue,10
254,1,1,100.0,271,False,normal,270,skyblue,10
209,1,5,20.0,271,False,normal,271,skyblue,10
500,1,3,33.33333333333333,271,False,normal,272,skyblue,10
