labcode,a_count_2023,total_count_2023,a_rate_2023,rank_2023,is_special,special_type,x,color,size
85,29,34,85.29411764705883,1,False,normal,0,skyblue,10
248,29,29,100.0,1,False,normal,1,skyblue,10
270,29,30,96.66666666666667,1,False,normal,2,skyblue,10
268,28,30,93.33333333333333,4,False,normal,3,skyblue,10
112,28,30,93.33333333333333,4,False,normal,4,skyblue,10
245,27,28,96.42857142857143,6,False,normal,5,skyblue,10
173,27,29,93.10344827586206,6,False,normal,6,skyblue,10
43,26,27,96.29629629629629,8,True,year_special,7,blue,60
247,26,34,76.47058823529412,8,False,normal,8,skyblue,10
180,26,27,96.29629629629629,8,False,normal,9,skyblue,10
67,25,29,86.20689655172413,11,False,normal,10,skyblue,10
279,25,25,100.0,11,False,normal,11,skyblue,10
34,25,25,100.0,11,False,normal,12,skyblue,10
135,25,27,92.5925925925926,11,False,normal,13,skyblue,10
186,24,28,85.71428571428571,15,False,normal,14,skyblue,10
199,24,28,85.71428571428571,15,False,normal,15,skyblue,10
130,24,24,100.0,15,False,normal,16,skyblue,10
54,24,30,80.0,15,False,normal,17,skyblue,10
17,24,24,100.0,15,False,normal,18,skyblue,10
79,24,26,92.3076923076923,15,False,normal,19,skyblue,10
218,24,25,96.0,15,False,normal,20,skyblue,10
133,23,23,100.0,22,False,normal,21,skyblue,10
158,23,24,95.83333333333334,22,False,normal,22,skyblue,10
57,23,30,76.66666666666667,22,False,normal,23,skyblue,10
155,23,26,88.46153846153845,22,False,normal,24,skyblue,10
185,23,27,85.18518518518519,22,False,normal,25,skyblue,10
307,23,30,76.66666666666667,22,False,normal,26,skyblue,10
184,23,31,74.19354838709677,22,False,normal,27,skyblue,10
47,23,25,92.0,22,False,normal,28,skyblue,10
27,23,27,85.18518518518519,22,False,normal,29,skyblue,10
11,22,22,100.0,31,False,normal,30,skyblue,10
25,22,22,100.0,31,False,normal,31,skyblue,10
235,22,25,88.0,31,False,normal,32,skyblue,10
119,22,23,95.65217391304348,31,False,normal,33,skyblue,10
145,22,24,91.66666666666666,31,False,normal,34,skyblue,10
151,22,24,91.66666666666666,31,False,normal,35,skyblue,10
19,22,22,100.0,31,False,normal,36,skyblue,10
188,21,23,91.30434782608695,38,False,normal,37,skyblue,10
69,21,24,87.5,38,False,normal,38,skyblue,10
14,21,21,100.0,38,False,normal,39,skyblue,10
46,21,25,84.0,38,False,normal,40,skyblue,10
29,21,22,95.45454545454545,38,False,normal,41,skyblue,10
232,21,22,95.45454545454545,38,False,normal,42,skyblue,10
89,21,38,55.26315789473685,38,False,normal,43,skyblue,10
12,20,20,100.0,45,False,normal,44,skyblue,10
44,20,20,100.0,45,False,normal,45,skyblue,10
35,20,20,100.0,45,False,normal,46,skyblue,10
146,20,24,83.33333333333334,45,False,normal,47,skyblue,10
1,20,24,83.33333333333334,45,False,normal,48,skyblue,10
22,20,20,100.0,45,False,normal,49,skyblue,10
281,20,24,83.33333333333334,45,False,normal,50,skyblue,10
298,20,21,95.23809523809523,45,False,normal,51,skyblue,10
189,20,26,76.92307692307693,45,False,normal,52,skyblue,10
72,20,27,74.07407407407408,45,False,normal,53,skyblue,10
240,19,20,95.0,55,False,normal,54,skyblue,10
42,19,25,76.0,55,False,normal,55,skyblue,10
174,19,21,90.47619047619048,55,False,normal,56,skyblue,10
202,19,27,70.37037037037037,55,False,normal,57,skyblue,10
233,19,22,86.36363636363636,55,False,normal,58,skyblue,10
223,19,25,76.0,55,False,normal,59,skyblue,10
201,19,21,90.47619047619048,55,False,normal,60,skyblue,10
75,19,28,67.85714285714286,55,False,normal,61,skyblue,10
183,19,20,95.0,55,False,normal,62,skyblue,10
300,18,18,100.0,64,False,normal,63,skyblue,10
144,18,26,69.23076923076923,64,False,normal,64,skyblue,10
63,18,23,78.26086956521739,64,False,normal,65,skyblue,10
120,18,18,100.0,64,False,normal,66,skyblue,10
293,18,19,94.73684210526315,64,False,normal,67,skyblue,10
166,18,21,85.71428571428571,64,False,normal,68,skyblue,10
296,18,21,85.71428571428571,64,False,normal,69,skyblue,10
