labcode,a_count_2023,total_count_2023,a_rate_2023,rank_2023,is_special,special_type,x,color,size
85,25,27,92.5925925925926,1,False,normal,0,skyblue,10
43,25,26,96.15384615384616,1,True,year_special,1,blue,60
248,24,24,100.0,3,False,normal,2,skyblue,10
67,24,27,88.88888888888889,3,False,normal,3,skyblue,10
135,23,25,92.0,5,False,normal,4,skyblue,10
270,23,24,95.83333333333334,5,False,normal,5,skyblue,10
173,22,23,95.65217391304348,7,False,normal,6,skyblue,10
184,22,26,84.61538461538461,7,False,normal,7,skyblue,10
247,22,30,73.33333333333333,7,False,normal,8,skyblue,10
112,22,23,95.65217391304348,7,False,normal,9,skyblue,10
11,22,22,100.0,7,False,normal,10,skyblue,10
268,22,24,91.66666666666666,7,False,normal,11,skyblue,10
245,22,23,95.65217391304348,7,False,normal,12,skyblue,10
188,21,23,91.30434782608695,14,False,normal,13,skyblue,10
133,21,21,100.0,14,False,normal,14,skyblue,10
145,21,23,91.30434782608695,14,False,normal,15,skyblue,10
119,21,22,95.45454545454545,14,False,normal,16,skyblue,10
19,21,21,100.0,14,False,normal,17,skyblue,10
279,20,20,100.0,19,False,normal,18,skyblue,10
44,20,20,100.0,19,False,normal,19,skyblue,10
186,20,24,83.33333333333334,19,False,normal,20,skyblue,10
25,20,20,100.0,19,False,normal,21,skyblue,10
1,20,24,83.33333333333334,19,False,normal,22,skyblue,10
35,20,20,100.0,19,False,normal,23,skyblue,10
47,20,22,90.9090909090909,19,False,normal,24,skyblue,10
130,20,20,100.0,19,False,normal,25,skyblue,10
79,20,22,90.9090909090909,19,False,normal,26,skyblue,10
232,19,20,95.0,28,False,normal,27,skyblue,10
185,19,23,82.6086956521739,28,False,normal,28,skyblue,10
202,19,27,70.37037037037037,28,False,normal,29,skyblue,10
89,19,31,61.29032258064516,28,False,normal,30,skyblue,10
27,19,22,86.36363636363636,28,False,normal,31,skyblue,10
34,19,19,100.0,28,False,normal,32,skyblue,10
54,19,23,82.6086956521739,28,False,normal,33,skyblue,10
199,19,23,82.6086956521739,28,False,normal,34,skyblue,10
120,18,18,100.0,36,False,normal,35,skyblue,10
180,18,19,94.73684210526315,36,False,normal,36,skyblue,10
57,18,24,75.0,36,False,normal,37,skyblue,10
218,18,18,100.0,36,False,normal,38,skyblue,10
201,18,20,90.0,36,False,normal,39,skyblue,10
300,18,18,100.0,36,False,normal,40,skyblue,10
17,18,18,100.0,36,False,normal,41,skyblue,10
330,18,26,69.23076923076923,36,False,normal,42,skyblue,10
40,17,17,100.0,44,False,normal,43,skyblue,10
72,17,22,77.27272727272727,44,False,normal,44,skyblue,10
104,17,26,65.38461538461539,44,False,normal,45,skyblue,10
155,17,20,85.0,44,False,normal,46,skyblue,10
105,17,17,100.0,44,False,normal,47,skyblue,10
293,17,18,94.44444444444444,44,False,normal,48,skyblue,10
29,17,18,94.44444444444444,44,False,normal,49,skyblue,10
46,17,21,80.95238095238095,44,False,normal,50,skyblue,10
235,17,20,85.0,44,False,normal,51,skyblue,10
189,17,22,77.27272727272727,44,False,normal,52,skyblue,10
307,17,23,73.91304347826086,44,False,normal,53,skyblue,10
296,17,20,85.0,44,False,normal,54,skyblue,10
334,16,21,76.19047619047619,56,False,normal,55,skyblue,10
178,16,16,100.0,56,False,normal,56,skyblue,10
