labcode,a_count_2024,total_count_2024,a_rate_2024,rank_2024,is_special,special_type,x,color,size
301,29,30,96.66666666666667,1,False,normal,0,skyblue,10
310,28,28,100.0,2,False,normal,1,skyblue,10
287,28,29,96.55172413793103,2,False,normal,2,skyblue,10
43,27,28,96.42857142857143,4,False,normal,3,skyblue,10
74,27,27,100.0,4,False,normal,4,skyblue,10
116,27,30,90.0,4,False,normal,5,skyblue,10
195,27,27,100.0,4,False,normal,6,skyblue,10
82,26,26,100.0,8,False,normal,7,skyblue,10
160,26,31,83.87096774193549,8,False,normal,8,skyblue,10
39,26,26,100.0,8,False,normal,9,skyblue,10
418,26,29,89.65517241379311,8,False,normal,10,skyblue,10
53,26,27,96.29629629629629,8,False,normal,11,skyblue,10
184,26,28,92.85714285714286,8,False,normal,12,skyblue,10
354,25,27,92.5925925925926,14,False,normal,13,skyblue,10
21,25,27,92.5925925925926,14,False,normal,14,skyblue,10
33,25,25,100.0,14,False,normal,15,skyblue,10
5,25,25,100.0,14,True,year_special,16,orange,60
178,25,26,96.15384615384616,14,False,normal,17,skyblue,10
313,24,24,100.0,19,False,normal,18,skyblue,10
210,24,25,96.0,19,False,normal,19,skyblue,10
226,24,27,88.88888888888889,19,False,normal,20,skyblue,10
209,23,27,85.18518518518519,22,False,normal,21,skyblue,10
62,23,26,88.46153846153845,22,False,normal,22,skyblue,10
315,23,25,92.0,22,False,normal,23,skyblue,10
446,23,23,100.0,22,False,normal,24,skyblue,10
347,23,24,95.83333333333334,22,False,normal,25,skyblue,10
346,23,24,95.83333333333334,22,False,normal,26,skyblue,10
345,23,28,82.14285714285714,22,False,normal,27,skyblue,10
152,23,24,95.83333333333334,22,False,normal,28,skyblue,10
3,23,23,100.0,22,False,normal,29,skyblue,10
176,22,27,81.48148148148148,31,False,normal,30,skyblue,10
140,22,24,91.66666666666666,31,False,normal,31,skyblue,10
224,22,31,70.96774193548387,31,False,normal,32,skyblue,10
16,22,22,100.0,31,False,normal,33,skyblue,10
419,22,22,100.0,31,False,normal,34,skyblue,10
22,22,22,100.0,31,False,normal,35,skyblue,10
151,22,25,88.0,31,False,normal,36,skyblue,10
122,21,21,100.0,38,False,normal,37,skyblue,10
338,21,21,100.0,38,False,normal,38,skyblue,10
397,21,28,75.0,38,False,normal,39,skyblue,10
264,21,25,84.0,38,False,normal,40,skyblue,10
218,21,26,80.76923076923077,38,False,normal,41,skyblue,10
308,21,21,100.0,38,False,normal,42,skyblue,10
219,21,26,80.76923076923077,38,False,normal,43,skyblue,10
188,21,24,87.5,38,False,normal,44,skyblue,10
148,21,29,72.41379310344827,38,False,normal,45,skyblue,10
334,20,23,86.95652173913044,47,False,normal,46,skyblue,10
355,20,22,90.9090909090909,47,False,normal,47,skyblue,10
358,20,20,100.0,47,False,normal,48,skyblue,10
270,20,23,86.95652173913044,47,False,normal,49,skyblue,10
37,20,22,90.9090909090909,47,False,normal,50,skyblue,10
443,20,26,76.92307692307693,47,False,normal,51,skyblue,10
40,20,22,90.9090909090909,47,False,normal,52,skyblue,10
344,20,26,76.92307692307693,47,False,normal,53,skyblue,10
56,20,26,76.92307692307693,47,False,normal,54,skyblue,10
68,20,23,86.95652173913044,47,False,normal,55,skyblue,10
268,20,21,95.23809523809523,47,False,normal,56,skyblue,10
245,20,22,90.9090909090909,47,False,normal,57,skyblue,10
162,20,22,90.9090909090909,47,False,normal,58,skyblue,10
167,20,20,100.0,47,False,normal,59,skyblue,10
129,19,19,100.0,61,False,normal,60,skyblue,10
239,19,20,95.0,61,False,normal,61,skyblue,10
234,19,20,95.0,61,False,normal,62,skyblue,10
487,19,19,100.0,61,False,normal,63,skyblue,10
258,19,19,100.0,61,False,normal,64,skyblue,10
259,19,20,95.0,61,False,normal,65,skyblue,10
303,19,19,100.0,61,False,normal,66,skyblue,10
263,19,19,100.0,61,False,normal,67,skyblue,10
196,19,25,76.0,61,False,normal,68,skyblue,10
41,18,18,100.0,70,False,normal,69,skyblue,10
269,18,29,62.06896551724138,70,False,normal,70,skyblue,10
28,18,18,100.0,70,False,normal,71,skyblue,10
113,18,20,90.0,70,False,normal,72,skyblue,10
150,18,27,66.66666666666666,70,False,normal,73,skyblue,10
100,18,20,90.0,70,False,normal,74,skyblue,10
106,18,19,94.73684210526315,70,False,normal,75,skyblue,10
207,18,19,94.73684210526315,70,False,normal,76,skyblue,10
191,18,18,100.0,70,False,normal,77,skyblue,10
164,18,23,78.26086956521739,70,False,normal,78,skyblue,10
392,18,20,90.0,70,False,normal,79,skyblue,10
133,18,22,81.81818181818183,70,False,normal,80,skyblue,10
337,18,19,94.73684210526315,70,False,normal,81,skyblue,10
44,18,21,85.71428571428571,70,False,normal,82,skyblue,10
274,18,21,85.71428571428571,70,False,normal,83,skyblue,10
328,18,22,81.81818181818183,70,False,normal,84,skyblue,10
70,18,21,85.71428571428571,70,False,normal,85,skyblue,10
348,18,19,94.73684210526315,70,False,normal,86,skyblue,10
352,18,19,94.73684210526315,70,False,normal,87,skyblue,10
317,17,28,60.71428571428571,89,False,normal,88,skyblue,10
329,17,17,100.0,89,False,normal,89,skyblue,10
333,17,17,100.0,89,False,normal,90,skyblue,10
275,17,21,80.95238095238095,89,False,normal,91,skyblue,10
63,17,17,100.0,89,False,normal,92,skyblue,10
367,17,21,80.95238095238095,89,False,normal,93,skyblue,10
185,17,17,100.0,89,False,normal,94,skyblue,10
390,17,18,94.44444444444444,89,False,normal,95,skyblue,10
416,17,21,80.95238095238095,89,False,normal,96,skyblue,10
407,17,18,94.44444444444444,89,False,normal,97,skyblue,10
377,17,19,89.47368421052632,89,False,normal,98,skyblue,10
414,17,19,89.47368421052632,89,False,normal,99,skyblue,10
171,17,17,100.0,89,False,normal,100,skyblue,10
108,17,23,73.91304347826086,89,False,normal,101,skyblue,10
455,17,17,100.0,89,False,normal,102,skyblue,10
125,17,20,85.0,89,False,normal,103,skyblue,10
143,17,18,94.44444444444444,89,False,normal,104,skyblue,10
156,17,20,85.0,89,False,normal,105,skyblue,10
306,17,24,70.83333333333334,89,False,normal,106,skyblue,10
158,17,23,73.91304347826086,89,False,normal,107,skyblue,10
138,17,20,85.0,89,False,normal,108,skyblue,10
147,17,22,77.27272727272727,89,False,normal,109,skyblue,10
