Year,Total Projects,Total Labs,Avg Participation,Max Participation,Min Participation,Special Labs
2021,28,270,14.4,28,1,211(12)
2022,47,277,15.252707581227437,37,1,8(29)
2023,32,319,13.369905956112852,31,1,43(26)
2024,38,472,14.88135593220339,31,1,5(25)
2025,31,399,12.964912280701755,28,1,15(26)
