labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note
505,11.07,0.0,0.0,1,1,135,False,
41,11.48,0.0,0.0,1,1,138,False,
504,11.89,0.0,0.0,1,1,139,False,
416,11.89,0.0,0.0,1,1,139,False,
125,12.3,0.0,0.0,1,1,141,False,
148,12.3,0.0,0.0,1,1,141,False,
382,12.3,0.0,0.0,1,1,141,False,
315,12.3,0.0,0.0,1,1,141,False,
74,12.3,0.0,0.0,1,1,141,False,
4,12.7,0.0,0.0,1,1,146,False,
202,13.11,0.0,0.0,1,1,147,False,
189,13.11,0.0,0.0,1,1,147,False,
355,13.93,0.0,0.0,1,1,149,False,
233,13.93,0.0,0.0,1,1,149,False,
140,13.93,0.0,0.0,1,1,149,False,
122,13.93,0.0,0.0,1,1,149,False,
404,13.93,0.0,0.0,1,1,149,False,
414,13.93,0.0,0.0,1,1,149,False,
278,13.93,0.0,0.0,1,1,149,False,
371,13.93,0.0,0.0,1,1,149,False,
487,13.93,0.0,0.0,1,1,149,False,
269,13.93,0.0,0.0,1,1,149,False,
339,14.34,0.0,0.0,1,1,159,False,
471,14.34,0.0,0.0,1,1,159,False,
218,14.34,0.0,0.0,1,1,159,False,
201,14.75,0.0,0.0,1,1,162,False,
491,14.75,0.0,0.0,1,1,162,False,
232,14.75,0.0,0.0,1,1,162,False,
119,14.75,0.0,0.0,1,1,162,False,
177,14.75,0.0,0.0,1,1,162,False,
204,15.57,0.0,0.0,1,1,167,False,
58,15.57,0.0,0.0,1,1,167,False,
347,15.98,0.0,0.0,1,1,169,False,
116,15.98,0.0,0.0,1,1,169,False,
133,16.8,0.0,0.0,1,1,171,False,
224,16.8,0.0,0.0,1,1,171,False,
498,16.8,0.0,0.0,1,1,171,False,
261,17.21,0.0,0.0,1,1,174,False,
334,17.21,0.0,0.0,1,1,174,False,
63,17.62,0.0,0.0,1,1,176,False,
425,17.62,0.0,0.0,1,1,176,False,
320,18.03,0.0,0.0,1,1,178,False,
455,18.03,0.0,0.0,1,1,178,False,
197,18.03,0.0,0.0,1,1,178,False,
126,18.03,0.0,0.0,1,1,178,False,
225,18.44,0.0,0.0,1,1,182,False,
302,18.44,0.0,0.0,1,1,182,False,
54,18.85,0.0,0.0,1,1,184,False,
331,18.85,0.0,0.0,1,1,184,False,
358,18.85,0.0,0.0,1,1,184,False,
131,18.85,0.0,0.0,1,1,184,False,
26,19.67,0.0,0.0,1,1,188,False,
295,19.67,0.0,0.0,1,1,188,False,
80,19.67,0.0,0.0,1,1,188,False,
363,20.08,0.0,0.0,1,1,191,False,
19,20.9,0.0,0.0,1,1,192,False,
399,20.9,0.0,0.0,1,1,192,False,
234,21.31,0.0,0.0,1,1,194,False,
96,21.72,0.0,0.0,1,1,195,False,
254,22.13,0.0,0.0,1,1,196,False,
179,22.13,0.0,0.0,1,1,196,False,
223,22.13,0.0,0.0,1,1,196,False,
222,22.13,0.0,0.0,1,1,196,False,
408,22.95,0.0,0.0,1,1,200,False,
427,22.95,0.0,0.0,1,1,200,False,
384,22.95,0.0,0.0,1,1,200,False,
158,22.95,0.0,0.0,1,1,200,False,
167,22.95,0.0,0.0,1,1,200,False,
475,25.0,0.0,0.0,1,1,205,False,
434,25.0,0.0,0.0,1,1,205,False,
149,26.23,0.0,0.0,1,1,207,False,
84,26.23,0.0,0.0,1,1,207,False,
421,27.05,0.0,0.0,1,1,209,False,
359,27.05,0.0,0.0,1,1,209,False,
109,27.05,0.0,0.0,1,1,209,False,
191,27.46,0.0,0.0,1,1,212,False,
230,28.69,0.0,0.0,1,1,213,False,
362,29.1,0.0,0.0,1,1,214,False,
13,30.33,0.0,0.0,1,1,215,False,
161,30.33,0.0,0.0,1,1,215,False,
121,31.15,0.0,0.0,1,1,217,False,
35,31.15,0.0,0.0,1,1,217,False,
30,31.15,0.0,0.0,1,1,217,False,
93,31.15,0.0,0.0,1,1,217,False,
38,31.15,0.0,0.0,1,1,217,False,
464,31.56,0.0,0.0,1,1,222,False,
445,34.84,0.0,0.0,1,1,223,False,
397,34.84,0.0,0.0,1,1,223,False,
76,35.25,0.0,0.0,1,1,225,False,
25,38.52,0.0,0.0,1,1,226,False,
181,38.52,0.0,0.0,1,1,226,False,
144,40.16,0.0,0.0,1,1,228,False,
507,43.44,0.0,0.0,1,1,229,False,
485,43.44,0.0,0.0,1,1,229,False,
326,46.72,0.0,0.0,1,1,231,False,
88,47.54,0.0,0.0,1,1,232,False,
172,47.54,0.0,0.0,1,1,232,False,
442,49.18,0.0,0.0,1,1,234,False,
305,51.64,0.0,0.0,1,1,235,False,
146,59.02,0.0,0.0,1,1,236,False,
311,62.7,0.0,0.0,1,1,237,False,
203,70.9,0.0,0.0,1,1,238,False,
186,79.51,0.0,0.0,1,1,239,False,
141,80.33,0.0,0.0,1,1,240,False,
247,88.52,0.0,0.0,1,1,241,False,
502,88.93,0.0,0.0,1,1,242,False,
256,97.13,0.0,0.0,1,1,243,False,
180,99.84,0.0,0.0,1,1,244,False,
79,121.31,0.0,0.0,1,1,245,False,
24,138.93,0.0,0.0,1,1,246,False,
145,154.1,0.0,0.0,1,1,247,False,
317,162.3,0.0,0.0,1,1,248,False,
284,204.51,0.0,0.0,1,1,249,False,
309,309.84,0.0,0.0,1,1,250,False,
508,373.77,0.0,0.0,1,1,251,False,
