year,project,n_total,our_rank,our_percentile,our_final
2025,20 - Pb-210 Gamma Soil,161,66,40.993788819875775,A
2025,21 - Bi-212 Gamma Soil,155,21,13.548387096774196,A
2025,22 - Pb-212 Gamma Soil,214,95,44.39252336448598,A
2025,23 - Pb-214 Gamma Soil,211,4,1.8957345971563981,A
2025,24 - Bi-214 Gamma Soil,216,3,1.3888888888888888,A
2025,25 - Ra-226 Gamma Soil,218,4,1.834862385321101,A
2025,26 - Ac-228 Gamma Soil,238,134,56.30252100840336,A
2025,27 - Th-232 Gamma Soil,84,49,58.333333333333336,A
2025,28 - Pa-234m Gamma Soil,24,5,20.833333333333336,A
2025,29 - Th-234 Gamma Soil,93,24,25.806451612903224,A
2025,31 - U-238 Gamma Soil,87,18,20.689655172413794,A
2025,32 - K-40 Gamma Plant,320,111,34.6875,A
2025,33 - Sr-90 Beta Surface,178,66,37.07865168539326,A
2025,34 - Ba-133 Gamma Surface,278,79,28.41726618705036,A
