project,n_total,our_abs_bias,our_rel_bias,our_rank,our_percentile
Cs-137 Gamma Water1,339,0.0,0.0,1,0.2949852507374631
Bi-214 Gamma Soil,216,0.8,0.8,3,1.3888888888888888
Ra-226 Gamma Soil,218,0.8,0.8,4,1.834862385321101
Pb-214 Gamma Soil,211,0.8,0.8,4,1.8957345971563981
Cs-134 Gamma Water1,336,0.4,0.4,7,2.083333333333333
H-3 Beta Water1,183,1.5,1.5,22,12.021857923497267
Na-22 Gamma Water1,309,1.0,-1.0,38,12.297734627831716
Bi-212 Gamma Soil,155,1.8,-1.8,21,13.548387096774196
K-40 Gamma Soil,316,1.2,-1.2,44,13.924050632911392
Ba-133 Gamma Water1,321,1.5,1.5,52,16.1993769470405
U-238 Gamma Soil,87,5.6,-5.6,18,20.689655172413794
Pa-234m Gamma Soil,24,5.6,-5.6,5,20.833333333333336
Sr-90 Beta Water1,175,2.0,-2.0,40,22.857142857142858
Th-234 Gamma Soil,93,5.6,-5.6,24,25.806451612903224
Ba-133 Gamma Surface,278,1.2,-1.2,79,28.41726618705036
Co-60 Gamma Water1,336,1.4,1.4,102,30.357142857142854
K-40 Gamma Plant,320,3.9,-3.9,111,34.6875
Sr-90 Beta Surface,178,4.0,4.0,66,37.07865168539326
Po-210 Alpha Water1,108,11.0,-11.0,41,37.96296296296296
U-235 Alpha Water2,79,11.3,-11.3,32,40.50632911392405
Pb-210 Gamma Soil,161,7.4,7.4,66,40.993788819875775
Pb-210 Beta Water1,133,6.1,-6.1,55,41.35338345864661
U-235 ICP-MS Water2,54,4.3,-4.3,23,42.592592592592595
Pb-212 Gamma Soil,214,5.7,5.7,95,44.39252336448598
U-238 Alpha Water2,115,9.5,-9.5,53,46.08695652173913
Total-U ICP-MS Water2,73,5.6,-5.6,36,49.31506849315068
U-238 ICP-MS Water2,62,5.8,-5.8,32,51.61290322580645
Tl-208 Gamma Soil,197,7.8,7.8,109,55.32994923857868
Ac-228 Gamma Soil,238,6.9,6.9,134,56.30252100840336
Th-232 Gamma Soil,84,6.9,6.9,49,58.333333333333336
Cs-137 Gamma Soil,316,8.7,8.7,194,61.39240506329114
U-234 Alpha Water2,111,18.1,-18.1,76,68.46846846846847
