project,n_total,our_abs_bias,our_rel_bias,our_rank,our_percentile
Co-60 Gamma Water1,244,0.0,0.0,1,0.4098360655737705
Pb-210 Gamma Water1,144,0.96,0.96,8,5.555555555555555
Cs-137 Gamma Water1,254,0.41,0.41,22,8.661417322834646
Po-210 Alpha Water1,46,2.22,-2.22,4,8.695652173913043
Cs-134 Gamma Water3,248,0.83,-0.83,22,8.870967741935484
Pb-210 Gamma Water2,71,2.31,-2.31,7,9.859154929577464
Cs-134 Gamma Water1,252,0.63,0.63,25,9.920634920634921
Am-241 Gamma Water2,223,0.99,0.99,28,12.556053811659194
Sr-90 Beta Water2,107,0.94,-0.94,14,13.084112149532709
H-3 Beta Water2,104,2.78,2.78,19,18.269230769230766
Sr-90 Beta Water1,96,2.27,2.27,22,22.916666666666664
Cs-137 Gamma Water2,252,1.44,-1.44,67,26.58730158730159
Am-241 Gamma Water3,118,6.43,6.43,40,33.89830508474576
Po-210 Alpha Water2,42,7.56,-7.56,15,35.714285714285715
Cs-137 Gamma Water3,250,2.65,2.65,135,54.0
