project,n_total,our_abs_bias,our_rel_bias,our_rank,our_percentile
U-238 Alpha Water1,81,0.18,0.18,1,1.2345679012345678
Th-234 Gamma Soil,37,0.43,-0.43,1,2.7027027027027026
Cs-134 Gamma Water2,287,0.5,-0.5,12,4.181184668989547
U-235 Alpha Water1,69,0.77,-0.77,4,5.797101449275362
Cs-134 Gamma Surface1,205,0.93,0.93,14,6.829268292682928
Po-210 Alpha Water2,39,1.92,-1.92,3,7.6923076923076925
Cs-134 Gamma Surface2,207,1.28,-1.28,20,9.66183574879227
Ra-226 Gamma Soil,113,2.4,-2.4,11,9.734513274336283
Cs-137 Gamma Water2,287,0.45,-0.45,32,11.149825783972126
Sb-125 Gamma Water2,232,0.68,0.68,27,11.637931034482758
Pb-210 Beta Water2,31,1.72,1.72,5,16.129032258064516
Ra-226 Alpha Water2,58,3.48,-3.48,14,24.137931034482758
Co-60 Gamma Water1,285,1.36,-1.36,74,25.964912280701753
Am-241 Gamma Water1,267,2.24,2.24,70,26.217228464419474
Sr-90 Beta Surface1,106,10.22,-10.22,32,30.18867924528302
Cs-137 Gamma Soil,247,4.81,-4.81,78,31.57894736842105
H-3 Beta Water1,124,3.79,-3.79,41,33.064516129032256
K-40 Gamma Soil,218,4.11,-4.11,77,35.321100917431195
Sr-90 Beta Water2,120,4.93,-4.93,52,43.333333333333336
Cs-134 Gamma Soil,223,11.11,-11.11,110,49.327354260089685
U-234 Alpha Water1,78,6.25,6.25,40,51.28205128205128
Sr-90 Beta Surface3,126,27.21,27.21,67,53.17460317460318
