project,n_total,our_abs_bias,our_rel_bias,our_rank,our_percentile
Ba-133 Water2,226,0.2,-0.2,3,1.3274336283185841
Cs-137 Gamma Water2,245,0.41,0.41,21,8.571428571428571
Am-241 Gamma Water2,211,1.2,-1.2,22,10.42654028436019
Cs-137 Gamma Water3,230,0.69,0.69,30,13.043478260869565
Cs-137 Gamma Water1,245,1.01,1.01,58,23.6734693877551
Cs-134 Gamma Water1,238,1.59,1.59,64,26.89075630252101
Co-60 Gamma Water1,232,1.48,-1.48,68,29.310344827586203
Cs-134 Gamma Water3,224,2.36,2.36,76,33.92857142857143
Am-241 Gamma Water1,214,2.63,2.63,73,34.112149532710276
Sr-90 Beta Water2,100,3.0,-3.0,42,42.0
