labcode,high_difficulty_count_2024,total_high_difficulty_projects_2024,high_difficulty_rank_2024,high_difficulty_rate_2024,is_special,x,color,size
317,3,4,1,75.0,False,0,skyblue,40
145,3,4,1,75.0,False,1,skyblue,40
418,3,4,1,75.0,False,2,skyblue,40
226,2,4,4,50.0,False,3,skyblue,40
178,2,4,4,50.0,False,4,skyblue,40
82,2,4,4,50.0,False,5,skyblue,40
434,2,4,4,50.0,False,6,skyblue,40
428,2,4,4,50.0,False,7,skyblue,40
5,2,4,4,50.0,True,8,red,80
160,2,4,4,50.0,False,9,skyblue,40
389,2,4,4,50.0,False,10,skyblue,40
306,2,4,4,50.0,False,11,skyblue,40
21,2,4,4,50.0,False,12,skyblue,40
33,2,4,4,50.0,False,13,skyblue,40
39,2,4,4,50.0,False,14,skyblue,40
148,2,4,4,50.0,False,15,skyblue,40
62,2,4,4,50.0,False,16,skyblue,40
50,2,4,4,50.0,False,17,skyblue,40
112,2,4,4,50.0,False,18,skyblue,40
341,2,4,4,50.0,False,19,skyblue,40
347,2,4,4,50.0,False,20,skyblue,40
346,2,4,4,50.0,False,21,skyblue,40
264,2,4,4,50.0,False,22,skyblue,40
210,2,4,4,50.0,False,23,skyblue,40
167,2,4,4,50.0,False,24,skyblue,40
164,2,4,4,50.0,False,25,skyblue,40
188,2,4,4,50.0,False,26,skyblue,40
158,2,4,4,50.0,False,27,skyblue,40
315,2,4,4,50.0,False,28,skyblue,40
344,2,4,4,50.0,False,29,skyblue,40
37,2,4,4,50.0,False,30,skyblue,40
446,2,4,4,50.0,False,31,skyblue,40
338,1,4,33,25.0,False,32,skyblue,40
2,1,4,33,25.0,False,33,skyblue,40
151,1,4,33,25.0,False,34,skyblue,40
259,1,4,33,25.0,False,35,skyblue,40
58,1,4,33,25.0,False,36,skyblue,40
122,1,4,33,25.0,False,37,skyblue,40
24,1,4,33,25.0,False,38,skyblue,40
16,1,4,33,25.0,False,39,skyblue,40
40,1,4,33,25.0,False,40,skyblue,40
74,1,4,33,25.0,False,41,skyblue,40
367,1,4,33,25.0,False,42,skyblue,40
326,1,4,33,25.0,False,43,skyblue,40
314,1,4,33,25.0,False,44,skyblue,40
270,1,4,33,25.0,False,45,skyblue,40
152,1,4,33,25.0,False,46,skyblue,40
220,1,4,33,25.0,False,47,skyblue,40
3,1,4,33,25.0,False,48,skyblue,40
89,1,4,33,25.0,False,49,skyblue,40
115,1,4,33,25.0,False,50,skyblue,40
159,1,4,33,25.0,False,51,skyblue,40
177,1,4,33,25.0,False,52,skyblue,40
184,1,4,33,25.0,False,53,skyblue,40
198,1,4,33,25.0,False,54,skyblue,40
239,1,4,33,25.0,False,55,skyblue,40
103,1,4,33,25.0,False,56,skyblue,40
412,1,4,33,25.0,False,57,skyblue,40
262,1,4,33,25.0,False,58,skyblue,40
254,1,4,33,25.0,False,59,skyblue,40
275,1,4,33,25.0,False,60,skyblue,40
269,1,4,33,25.0,False,61,skyblue,40
301,1,4,33,25.0,False,62,skyblue,40
312,1,4,33,25.0,False,63,skyblue,40
313,1,4,33,25.0,False,64,skyblue,40
274,1,4,33,25.0,False,65,skyblue,40
325,1,4,33,25.0,False,66,skyblue,40
333,1,4,33,25.0,False,67,skyblue,40
345,1,4,33,25.0,False,68,skyblue,40
352,1,4,33,25.0,False,69,skyblue,40
390,1,4,33,25.0,False,70,skyblue,40
419,1,4,33,25.0,False,71,skyblue,40
441,1,4,33,25.0,False,72,skyblue,40
22,1,4,33,25.0,False,73,skyblue,40
43,1,4,33,25.0,False,74,skyblue,40
51,1,4,33,25.0,False,75,skyblue,40
68,1,4,33,25.0,False,76,skyblue,40
100,1,4,33,25.0,False,77,skyblue,40
150,1,4,33,25.0,False,78,skyblue,40
157,1,4,33,25.0,False,79,skyblue,40
163,1,4,33,25.0,False,80,skyblue,40
185,1,4,33,25.0,False,81,skyblue,40
202,1,4,33,25.0,False,82,skyblue,40
207,1,4,33,25.0,False,83,skyblue,40
209,1,4,33,25.0,False,84,skyblue,40
212,1,4,33,25.0,False,85,skyblue,40
224,1,4,33,25.0,False,86,skyblue,40
231,1,4,33,25.0,False,87,skyblue,40
276,1,4,33,25.0,False,88,skyblue,40
281,1,4,33,25.0,False,89,skyblue,40
287,1,4,33,25.0,False,90,skyblue,40
303,1,4,33,25.0,False,91,skyblue,40
308,1,4,33,25.0,False,92,skyblue,40
318,1,4,33,25.0,False,93,skyblue,40
328,1,4,33,25.0,False,94,skyblue,40
332,1,4,33,25.0,False,95,skyblue,40
334,1,4,33,25.0,False,96,skyblue,40
354,1,4,33,25.0,False,97,skyblue,40
385,1,4,33,25.0,False,98,skyblue,40
387,1,4,33,25.0,False,99,skyblue,40
391,1,4,33,25.0,False,100,skyblue,40
392,1,4,33,25.0,False,101,skyblue,40
401,1,4,33,25.0,False,102,skyblue,40
415,1,4,33,25.0,False,103,skyblue,40
425,1,4,33,25.0,False,104,skyblue,40
427,1,4,33,25.0,False,105,skyblue,40
