labcode,high_difficulty_count_2021,total_high_difficulty_projects_2021,high_difficulty_rank_2021,high_difficulty_rate_2021,is_special,x,color,size
9,2,2,1,100.0,False,0,skyblue,40
18,2,2,1,100.0,False,1,skyblue,40
81,2,2,1,100.0,False,2,skyblue,40
91,2,2,1,100.0,False,3,skyblue,40
156,2,2,1,100.0,False,4,skyblue,40
189,2,2,1,100.0,False,5,skyblue,40
186,2,2,1,100.0,False,6,skyblue,40
261,2,2,1,100.0,False,7,skyblue,40
80,1,2,9,50.0,False,8,skyblue,40
169,1,2,9,50.0,False,9,skyblue,40
108,1,2,9,50.0,False,10,skyblue,40
172,1,2,9,50.0,False,11,skyblue,40
103,1,2,9,50.0,False,12,skyblue,40
233,1,2,9,50.0,False,13,skyblue,40
323,1,2,9,50.0,False,14,skyblue,40
5,1,2,9,50.0,False,15,skyblue,40
32,1,2,9,50.0,False,16,skyblue,40
41,1,2,9,50.0,False,17,skyblue,40
50,1,2,9,50.0,False,18,skyblue,40
76,1,2,9,50.0,False,19,skyblue,40
84,1,2,9,50.0,False,20,skyblue,40
86,1,2,9,50.0,False,21,skyblue,40
99,1,2,9,50.0,False,22,skyblue,40
125,1,2,9,50.0,False,23,skyblue,40
132,1,2,9,50.0,False,24,skyblue,40
135,1,2,9,50.0,False,25,skyblue,40
148,1,2,9,50.0,False,26,skyblue,40
227,1,2,9,50.0,False,27,skyblue,40
239,1,2,9,50.0,False,28,skyblue,40
240,1,2,9,50.0,False,29,skyblue,40
242,1,2,9,50.0,False,30,skyblue,40
251,1,2,9,50.0,False,31,skyblue,40
254,1,2,9,50.0,False,32,skyblue,40
268,1,2,9,50.0,False,33,skyblue,40
283,1,2,9,50.0,False,34,skyblue,40
297,1,2,9,50.0,False,35,skyblue,40
322,1,2,9,50.0,False,36,skyblue,40
